"Leading.razor.protein","Gene.names","Protein.names","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"A0A0A6YXX9","Gm16432","",6394.3640905351,10237.7827236128,12935.4382501628,9104.5671549005,13869.7179899148,11288.4758672225,14093.2034937237,17296.7809414821,5993.16136807299,5650.72010444461,10942.2612880088,9758.96349830262,9229.74071980353,9020.10224255417,7642.92335607693,9377.41262327006
"A1L314","Mpeg1","Macrophage-expressed gene 1 protein",56787.6318871404,82611.9504594064,44002.0184037014,61368.4972027438,77352.4513836564,83973.5484006382,39982.3299902431,44546.0182526722,85226.5546804446,89743.3010269399,83416.4336947749,82119.0232883745,107817.976664823,124409.019622311,70428.5953966727,94850.0395120958
"A2A432","Cul4b;Cul4a","Cullin-4B;Cullin-4A",814954.28325365,837133.699335892,828428.52754927,936380.837324656,859944.667742444,786842.248500101,772833.248642597,751876.997466363,1119596.21981665,891427.515334275,868110.162709206,885700.282330684,915514.008308951,853008.703369255,893298.541561343,756768.127501613
"A2A4P0","Dhx8","ATP-dependent RNA helicase DHX8",258073.37932399,231449.835926132,214393.631019902,269253.066540348,248728.51782805,227064.492289095,238803.5395776,189867.061355454,307889.429109359,284151.315077023,277499.067472035,198989.072913717,232113.335225246,238573.572883056,236257.919335868,243054.099555979
"A2A5R2","Arfgef2;Arfgef1","Brefeldin A-inhibited guanine nucleotide-exchange protein 2;Brefeldin A-inhibited guanine nucleotide-exchange protein 1",1227478.88271911,1175872.02070848,1135282.32586345,1108696.49667458,1258977.26430533,1209808.99710685,1155963.89973905,1134348.43466913,1406144.94805303,1292059.28438836,1276288.97449435,1283375.91426099,1331491.03159773,1271692.18729326,1285795.64487762,1237175.21385182
"A2A5Z6","Smurf2;Smurf1","E3 ubiquitin-protein ligase SMURF2;E3 ubiquitin-protein ligase SMURF1",446789.6719676,428882.926750202,388084.808421782,360595.615688685,393490.285132947,377533.214832462,345971.733799774,331024.486271537,371509.32166413,413325.772083071,380602.522125988,353826.520220841,342250.069655958,357614.898229119,295585.274012366,311622.611767821
"A2A690","Tanc2","Protein TANC2",62693.9067330176,60219.482354402,47672.3109751795,52549.8371297291,56098.0457072194,59140.729938512,52318.2002525121,56875.86882364,55228.0659886957,63661.9290960194,62224.1404542253,68029.9126809333,55763.1965723993,62456.8024485121,52449.1244333322,54006.8543685704
"A2A699","Fam171a2","Protein FAM171A2",1463.81632195568,2717.6954435541,2257.16298676479,1806.95970264842,1874.19202961643,2205.19265938407,2873.08362310082,2883.27120186298,740.944259233276,1598.32812991007,2084.89773437139,1687.38556407659,1396.88360225646,2987.47122219364,3294.48962220167,2250.03608262378
"A2A6A1","Gpatch8","G patch domain-containing protein 8",874089.968609259,713851.756948381,788606.111648047,667366.119710735,756292.288703108,770137.002059107,735185.781898086,748003.28133575,642725.146181218,662834.982196962,721142.504692682,733859.909115962,697987.388012597,725814.321793962,719732.311988597,683695.381196532
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",1107357.09514827,1066342.0249253,1067899.54822567,1040686.66954443,1080043.52014975,1074033.39480393,908945.740179096,929948.519485714,1164579.022729,1130009.08778579,1133245.56644644,1038124.23737121,1085323.34786755,1080482.83293476,1069025.06098976,1081154.50410414
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",119949.878589021,119038.731619459,121869.170306428,102364.166110793,110691.95318071,127990.332742448,146230.135597758,116103.135918651,111741.076817518,116181.698378584,129167.754981584,123056.72253027,151284.413572277,156139.634058123,157590.645122712,158598.400348392
"A2A791","Zmym4","Zinc finger MYM-type protein 4",521158.797571141,516210.984777731,498199.511165789,541507.955352016,586224.831940582,572738.25865992,517538.459532215,591772.505464032,476634.262158266,520047.626706596,575287.693960667,517716.15713082,577464.855271013,661320.391506394,624608.009571153,601065.201416413
"A2A7S8-2","Kiaa1522","Uncharacterized protein KIAA1522",210174.84004586,238581.520123904,198763.569404967,213697.692560583,218650.9333415,204221.284023975,224226.149979373,226894.183828342,211778.599960864,211108.722075698,197833.826412007,207130.769384889,209554.862007889,196750.399010239,184118.796146144,216089.297458811
"A2A870","Fbf1","Fas-binding factor 1",16663.874651143,14322.1525094771,15454.2820812262,14078.8307236227,16938.2730090064,16986.2611410447,15563.0306282764,16715.1931669701,15690.3335572823,17935.1566651199,14067.5554575739,15220.8744397739,14672.9930337376,17076.9570783971,13643.4613258478,17312.4227684493
"A2A884","Hivep3","Transcription factor HIVEP3",25635.6885124857,24538.4261032793,18707.3965285868,33940.2789331134,20497.5331124892,19587.878255681,22805.3896213096,22450.4266040421,29579.1054311325,30365.5746800567,28046.4831700407,31094.0346466587,40848.6550386575,31837.8316904998,34491.8966102893,35866.4374845495
"A2A8L1","Chd5","Chromodomain-helicase-DNA-binding protein 5",126700.068202887,126633.594094252,177277.504093531,166944.330412445,202630.118725402,191046.46161095,133404.938131591,151412.060251831,142714.134257679,137429.21209173,231672.925709883,251370.152313563,199428.480315972,174555.383582216,226168.651324346,262311.250547899
"A2A8Z1","Osbpl9","Oxysterol-binding protein-related protein 9",155032.469541383,176430.540435161,199315.047865133,149951.095119684,178225.5559406,156890.136995226,171011.618820907,168104.483261234,149632.029625625,143967.176171514,145499.329511009,201386.602952975,174184.645566894,177195.290622423,196093.520978036,183178.218093449
"A2A9C3","Szt2","Protein SZT2",365340.160144194,341863.068651812,371624.579573141,311805.10543673,337190.588833467,347507.697471413,347544.382922215,331367.841272509,405899.25651684,381201.258983552,385075.890944813,363329.895976127,375692.45948154,408459.218052279,380560.893183169,375059.576552938
"A2AAY5","Sh3pxd2a;Sh3pxd2b","SH3 and PX domain-containing protein 2A;SH3 and PX domain-containing protein 2B",794682.644756103,809554.884535277,772828.108887096,911029.588212522,833205.460141735,900769.438929521,767689.394146215,737333.659878353,817690.685451048,797853.198553559,773693.066707015,864777.504686745,679604.145318304,820541.335605194,710538.180082569,770384.349007063
"A2AB59","Arhgap27","Rho GTPase-activating protein 27",12534.5832148344,14185.8904829284,13980.1731710938,14517.6514215018,14001.577321613,14430.7905147201,8690.83079163987,13726.6099863619,11008.3031090163,13108.6640147642,10081.1727750211,15140.5393787642,12552.9736095935,12706.6679183184,7780.08938791276,10307.0096811816
"A2ABV5","Med14","Mediator of RNA polymerase II transcription subunit 14",500574.623962807,528036.636779644,518653.156728754,520070.852139312,542682.808538616,568286.254432825,526513.039463507,546142.893363031,568726.93887625,565912.91272479,591987.903934319,506640.22255627,561581.715035669,685215.037627525,607976.563084746,628127.953540705
"A2ACJ2","Faap100","Fanconi anemia-associated protein of 100 kDa",8765.29286302504,9870.66354464678,9450.73492996038,12672.8723034441,8283.96832870412,9173.57360100704,8649.30652730049,10693.4352471858,12432.2980621742,10570.6122416544,9962.69147366745,14551.9977361501,8491.72378496926,8289.79143784019,7254.67034412378,7260.71792666408
"A2ADA5-2","Pusl1","tRNA pseudouridine synthase-like 1",100082.558550858,123138.07896692,103662.864756285,109310.620772133,94349.1192395578,81032.3627871035,111123.149710142,83799.8723842547,143554.524721838,118965.166766111,113285.849643123,100426.685126726,110255.028495223,107997.189053079,91262.0015322645,88306.730180264
"A2ADY9","Ddi2","Protein DDI1 homolog 2",243878.728412296,249012.659789322,266567.144157271,217109.427253984,227869.878517181,247785.745711484,262479.488696362,255963.136231725,282589.413288001,303318.158293866,369909.817909728,352499.769224123,425834.908726163,375840.123640458,394799.709192121,391982.754257414
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",871213.119817393,834770.341467987,838536.513556248,881151.191480457,943867.933343287,893302.762982977,928295.361881327,812190.173375723,905642.713693692,919851.546902609,873878.056360775,845399.028877566,749836.95971417,932471.310489713,812623.773839157,820514.322538451
"A2AGH6","Med12","Mediator of RNA polymerase II transcription subunit 12",855553.07264168,838027.341742237,906070.453639198,876157.48892468,875955.762442091,973323.298712209,994254.348880856,943298.748255067,859103.564479724,984988.635473366,1070106.78766271,883631.706902117,937082.661063635,1018241.50870341,1017757.1274617,946775.440648993
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",7379233.50258404,7885827.28461215,7158386.39519924,7677427.46590072,7432327.42702718,7395024.55534957,6633386.79261615,6734303.74894654,7203733.04262282,7641889.60642903,7023498.58961706,7114262.56008299,6881256.80932877,7651475.66589373,6458952.79970917,7053401.71391512
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",185005.392436353,145586.628467975,164932.98201943,134191.080713616,131796.698515669,158793.723172512,123099.815312416,139732.107928075,168323.003724259,176308.329022743,179721.020790657,134338.90864189,176854.457413927,169125.72152806,152195.982240239,146700.576032676
"A2AHC3","Camsap1","Calmodulin-regulated spectrin-associated protein 1",555080.142392034,537712.592023544,481714.930356106,513074.067823369,466222.291348661,492016.905790269,434397.325152828,441744.756941459,516616.03133384,495142.188074018,522745.47228361,559297.933992288,437298.218231943,519762.873380878,408307.006429389,418232.642920415
"A2AHL1","Ano3","Anoctamin-3",16504.7519147343,21644.2657046823,12165.3754211197,14843.8799666357,19462.4373586581,20683.2043367428,20677.7654103966,24717.9547950432,16233.3394731336,17431.8428914923,21837.8763943822,18205.4965977193,24717.7442727517,30509.4763226947,29081.4030243616,29717.3635380248
