"Leading.razor.protein","Gene.names","Protein.names","LabelL","t1.1L","t1.2L","t2.1L","t2.2L","t3.1L","t3.2L","t4.1L","t4.2L","t5.1L","t5.2L","t6.1L","t6.2L","t7.1L","t7.2L","t8.1L","t8.2L","LabelH","t1.1H","t1.2H","t2.1H","t2.2H","t3.1H","t3.2H","t4.1H","t4.2H","t5.1H","t5.2H","t6.1H","t6.2H","t7.1H","t7.2H","t8.1H","t8.2H","t1.1T","t1.2T","t2.1T","t2.2T","t3.1T","t3.2T","t4.1T","t4.2T","t5.1T","t5.2T","t6.1T","t6.2T","t7.1T","t7.2T","t8.1T","t8.2T","t1.1.Hprop","t1.2.Hprop","t2.1.Hprop","t2.2.Hprop","t3.1.Hprop","t3.2.Hprop","t4.1.Hprop","t4.2.Hprop","t5.1.Hprop","t5.2.Hprop","t6.1.Hprop","t6.2.Hprop","t7.1.Hprop","t7.2.Hprop","t8.1.Hprop","t8.2.Hprop"
"A2A432","Cul4b","Cullin-4B","L",12066.8147660654,10185.9462801802,10566.0842095633,12369.1161304514,10179.6853159494,10987.0786021966,12431.3326312054,10843.8180980921,11651.9959822317,15327.2047860113,13680.8528600525,14915.2521108057,11439.3950481494,12531.5624254528,13187.9802522549,11589.3514028399,"H",3406.69857305866,2635.76811511642,2139.00158404659,2761.8724154455,2328.07169840697,2476.62779174219,2098.45703234348,1196.69342940303,3403.68025646033,2480.02182903347,2726.08874217759,1745.44521403652,2786.49133694075,2180.31993510527,3540.92933611927,2005.87216732706,15473.5133391241,12821.7143952966,12705.0857936099,15130.9885458969,12507.7570143564,13463.7063939388,14529.7896635489,12040.5115274951,15055.676238692,17807.2266150448,16406.9416022301,16660.6973248422,14225.8863850901,14711.8823605581,16728.9095883742,13595.223570167,0.220163223334999,0.205570646315699,0.168357901614676,0.182530864197531,0.186130230682833,0.183948440294059,0.144424460431655,0.0993889193719324,0.226072891213821,0.139270526660124,0.16615459530904,0.104764235254064,0.195874707663996,0.148201289384329,0.211665280239189,0.147542418627723
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog","L",428136.582649653,453262.557841501,443360.226362381,344268.750902158,414722.333939962,419925.592439526,308930.954260284,324462.214496209,497975.157533586,454206.709087668,454600.359665291,407539.566294028,417956.356555104,419559.861997758,436971.28188447,419076.629336956,"H",20992.4927660698,18650.7212759937,18323.1660331337,16607.8477489075,17838.8538917351,16264.2703462494,15035.3457057477,13770.3457715857,17968.7788628161,18968.7031582454,15538.9531205779,18783.7876113378,16515.4016198151,21621.1478420366,14944.8414753227,18013.477843211,449129.075415723,471913.279117495,461683.392395515,360876.598651066,432561.187831697,436189.862785775,323966.299966032,338232.560267795,515943.936396402,473175.412245913,470139.312785869,426323.353905365,434471.758174919,441181.009839794,451916.123359793,437090.107180167,0.0467404448189839,0.0395215013039506,0.0396877304554126,0.0460208498167702,0.0412400705231,0.0372871351075788,0.046410215220917,0.0407126556966693,0.0348269988175821,0.0400880998194961,0.0330518054925038,0.0440599545843961,0.0380126010703001,0.0490074308726204,0.0330699452903219,0.0412122753347651
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B","L",171483.455455349,183943.20157702,161625.052656946,219964.41095688,188001.785621859,195287.944769226,166685.657422352,156149.351596287,178725.07924827,181629.717142519,177087.341015038,225135.312359087,170543.741661382,197196.360679061,165674.632174928,167102.460548769,"H",55412.7765462191,42164.1080036767,45562.2682467974,59235.0181222705,49598.0492269312,53689.8062258295,43692.6554365249,43687.5005048572,49869.1749068779,61784.1861333366,50273.1395734005,49762.116600238,39050.1481194527,55989.912943416,43199.2572278901,51137.5419934998,226896.232001568,226107.309580697,207187.320903743,279199.42907915,237599.83484879,248977.750995056,210378.312858877,199836.852101144,228594.254155148,243413.903275855,227360.480588439,274897.428959325,209593.889780835,253186.273622477,208873.889402819,218240.002542269,0.244220787879087,0.186478305729556,0.21990857378751,0.212160240863093,0.208746143525292,0.215640980012289,0.207686119556602,0.218615836095864,0.218155854753162,0.253823570888299,0.221116437840416,0.181020669377017,0.186313389957532,0.221141186456663,0.206819805727748,0.234317913296374
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein","L",69772.162861302,75683.1088753028,70164.6856194607,56001.469829314,64805.44005588,75601.2661088223,77941.4453577472,77791.86047886,81635.4755862918,90273.9595900088,81331.8332709126,84533.6470573798,81433.8321659717,85260.4716726844,94569.6571369258,85399.8141366895,"H",33988.5497538362,33596.3966382515,27741.8669515063,25516.2639558863,26639.7249660665,26905.5105236017,28887.4767311343,25678.7259819116,27799.3991657192,32270.8653736828,30095.2131672539,30132.7266335066,27077.6709353225,27607.6433190006,24161.9973110685,25757.5963011398,103760.712615138,109279.505513554,97906.552570967,81517.7337852003,91445.1650219465,102506.776632424,106828.922088882,103470.586460772,109434.874752011,122544.824963692,111427.046438166,114666.373690886,108511.503101294,112868.114991685,118731.654447994,111157.410437829,0.327566656947549,0.30743547456924,0.283350462487153,0.313014883646321,0.291319119602147,0.262475432430008,0.270408763528476,0.248174160988708,0.254026874236527,0.263339275103981,0.270088942759103,0.262786078111595,0.249537331632443,0.244600907182994,0.203500889660825,0.23172180963631
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5","L",2408703.63209132,2528174.51053073,2079179.72450358,2428241.68350275,2365614.96140103,2450727.11028957,2158400.62784469,2103274.72328335,2342668.81868305,2527578.39559826,2377921.59427709,2396421.56523777,2323059.70356279,2587930.58937352,2205558.60394657,2269344.16079886,"H",271206.620141565,318918.765002473,258759.698093884,263183.464505646,238380.151314313,191253.413935328,180158.938741917,144627.555039673,180053.286581108,219637.128269467,182688.082822025,192649.682326462,188714.337679225,216208.039881895,175885.283195284,191070.778414088,2679910.25223289,2847093.27553321,2337939.42259746,2691425.1480084,2603995.11271535,2641980.5242249,2338559.56658661,2247902.27832302,2522722.10526416,2747215.52386773,2560609.67709912,2589071.24756423,2511774.04124201,2804138.62925541,2381443.88714185,2460414.93921294,0.101199889031954,0.112015566101446,0.110678529816825,0.0977859126791607,0.09154400872348,0.0723901679750037,0.0770384219910548,0.0643388978401536,0.0713726201571672,0.0799489979440151,0.0713455410466895,0.0744087991041979,0.0751318926705326,0.0771031922695296,0.0738565725377543,0.0776579492218534
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1","L",34149.9037631513,24354.2364493769,21890.6171755538,22098.7153701186,26532.5609044425,18948.8024557552,20776.7530166677,22696.7212553874,34656.5013904104,29679.7512154232,42080.2261601294,22196.9510437416,34864.6843262087,31379.5289911129,30821.029853947,26125.1312686131,"H",5224.50835994583,4929.22581098706,3108.3821090523,5617.14599475457,4471.98330772056,5266.07341905784,2074.06649813608,3555.87094718858,4942.04632152818,6518.76889538205,4262.33134086757,4896.88935543547,7141.79529505518,6973.0694730959,5843.43088910701,5324.19920770893,39374.4121230971,29283.4622603639,24998.9992846061,27715.8613648731,31004.544212163,24214.875874813,22850.8195148038,26252.5922025759,39598.5477119385,36198.5201108053,46342.557500997,27093.8403991771,42006.4796212639,38352.5984642088,36664.460743054,31449.330476322,0.132687907659734,0.168327971848429,0.124340261530644,0.202669003167756,0.144236382806305,0.217472657976138,0.0907655192319212,0.13544837476429,0.124803726578038,0.180083850815663,0.0919744522251685,0.180738104428496,0.17001651553395,0.181814785759647,0.159375885276426,0.169294516832957
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1","L",5192.90986645497,6235.00295933745,6298.64649678355,5716.99183892472,4938.46216420161,6030.72995085646,6241.23904407014,5709.43041524232,4207.42341581811,5038.78606745284,5340.3262401712,6598.19768937703,6209.14699085306,4245.44883145218,6159.97065062886,5661.68477012433,"H",2895.52010743706,2674.13430228641,3363.33660810336,2741.8845663787,2535.64578415771,2193.6538811553,3950.27100958972,2872.77013760421,2552.16432808966,1964.81554939239,1914.88188703724,2524.13322310146,3356.11583337859,2467.05583755351,2439.34273055548,2262.33342633566,8088.42997389203,8909.13726162386,9661.98310488691,8458.87640530342,7474.10794835932,8224.38383201176,10191.5100536599,8582.20055284654,6759.58774390778,7003.60161684522,7255.20812720844,9122.33091247849,9565.26282423164,6712.50466900569,8599.31338118434,7924.01819645999,0.357982960448847,0.300156370225123,0.348100029941289,0.324142880803843,0.339257313605475,0.266725620540343,0.387604092896041,0.33473584308763,0.377562127274678,0.280543591266894,0.263932040744091,0.276698274521996,0.35086498876712,0.367531340267797,0.283667151367325,0.285503310346554
"A2AI08","Tprn","Taperin","L",118438.324893037,129151.421421515,113735.868656599,130584.167197645,118249.688502947,125294.327086451,104469.884553322,96039.5573835363,116768.668381169,119174.608234362,94617.0218658245,105831.021127298,110576.091926281,136882.485609119,110844.379058561,118650.522149219,"H",7325.24792011107,6395.43332701369,6600.26509013552,5347.49683468047,7121.00686799982,6838.18785406438,4294.6006430176,6425.29255141248,6591.91672381483,6685.92748439542,5053.3745363421,5979.30645704144,5209.74070277119,6604.09519223062,6391.0981222466,6270.11084283033,125763.572813148,135546.854748529,120336.133746735,135931.664032325,125370.695370947,132132.514940515,108764.48519634,102464.849934949,123360.585104984,125860.535718757,99670.3964021666,111810.32758434,115785.832629052,143486.58080135,117235.477180807,124920.632992049,0.0582461817540321,0.0471824546491966,0.0548485719511876,0.0393395966476862,0.0567996121177295,0.0517524990509933,0.0394853212909072,0.0627072850396177,0.0534361661644592,0.0531217148108723,0.0507008572129272,0.0534772286802503,0.0449946300378724,0.0460258733279991,0.0545150518932923,0.0501927559335167
"A2AIV2","Kiaa1429","Protein virilizer homolog","L",2598.92006392535,2299.75992258155,3621.56136713239,2729.92921740417,3387.28488565217,4079.8400981633,4202.1406077314,2731.13622570708,3385.33800024497,3893.43247465493,2911.17592005343,2699.7058324752,3295.13917816818,3020.94707616022,3197.96924407218,2295.65553887506,"H",2259.0681818056,2984.9335879776,1949.07494686498,2926.53866733696,2114.01373665882,2073.35862049517,2374.84160619362,2591.85533726639,1968.21735761763,2348.64578801052,2771.07653001688,2564.7249722651,2202.68622301212,1432.62884770859,1609.01829717831,1259.00065085618,4857.98824573095,5284.69351055916,5570.63631399737,5656.46788474113,5501.29862231099,6153.19871865847,6576.98221392502,5322.99156297348,5353.5553578626,6242.07826266545,5682.25245007032,5264.4308047403,5497.8254011803,4453.57592386881,4806.98754125049,3554.65618973124,0.465021335486103,0.564826244324958,0.349883718304771,0.517379171413946,0.384275401463439,0.336956226394587,0.36108378112465,0.486917047792305,0.367646774162327,0.376260227632522,0.487672195905797,0.487179918853853,0.400646812563243,0.321680571342784,0.334724873607586,0.354183522584605
"A2AJI0","Map7d1","MAP7 domain-containing protein 1","L",138140.433790168,115542.260383496,115401.814556911,127909.064463429,98820.6640228451,131856.145147783,82077.1342039135,86219.9379953099,109222.436191325,86150.0209341133,100305.741904844,125614.801546089,104068.38839641,103869.077754822,84116.9878216828,92832.3311731933,"H",28791.6060371484,19245.0101982954,25955.8018866197,17993.7342183151,16759.0183766648,20294.7049551493,15787.8932392467,19020.5746092139,13115.2313368129,20164.0899068089,19574.9188482161,21270.7855879337,14672.5758360501,19700.915136234,18370.1969915375,15591.9718257273,166932.039827316,134787.270581791,141357.61644353,145902.798681744,115579.68239951,152150.850102932,97865.0274431602,105240.512604524,122337.667528138,106314.110840922,119880.66075306,146885.587134023,118740.96423246,123569.992891056,102487.18481322,108424.302998921,0.172475014784052,0.142780621012852,0.183617993424419,0.123326861313775,0.144999692236011,0.133385419413823,0.161323137097328,0.180734340212595,0.107205177291748,0.189665226443745,0.16328671134486,0.144811931537746,0.123567935723728,0.159431223352121,0.179243844242737,0.143805137727125
