"Leading.razor.protein","Gene.names","Protein.names","Label","t1.1","t1.2","t2.1","t2.2","t3.1","t3.2","t4.1","t4.2","t5.1","t5.2","t6.1","t6.2","t7.1","t7.2","t8.1","t8.2"
"A2A432","Cul4b","Cullin-4B","L",12066.8147660654,10185.9462801802,10566.0842095633,12369.1161304514,10179.6853159494,10987.0786021966,12431.3326312054,10843.8180980921,11651.9959822317,15327.2047860113,13680.8528600525,14915.2521108057,11439.3950481494,12531.5624254528,13187.9802522549,11589.3514028399
"A2A432","Cul4b","Cullin-4B","H",3406.69857305866,2635.76811511642,2139.00158404659,2761.8724154455,2328.07169840697,2476.62779174219,2098.45703234348,1196.69342940303,3403.68025646033,2480.02182903347,2726.08874217759,1745.44521403652,2786.49133694075,2180.31993510527,3540.92933611927,2005.87216732706
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog","H",20992.4927660698,18650.7212759937,18323.1660331337,16607.8477489075,17838.8538917351,16264.2703462494,15035.3457057477,13770.3457715857,17968.7788628161,18968.7031582454,15538.9531205779,18783.7876113378,16515.4016198151,21621.1478420366,14944.8414753227,18013.477843211
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog","L",428136.582649653,453262.557841501,443360.226362381,344268.750902158,414722.333939962,419925.592439526,308930.954260284,324462.214496209,497975.157533586,454206.709087668,454600.359665291,407539.566294028,417956.356555104,419559.861997758,436971.28188447,419076.629336956
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B","L",171483.455455349,183943.20157702,161625.052656946,219964.41095688,188001.785621859,195287.944769226,166685.657422352,156149.351596287,178725.07924827,181629.717142519,177087.341015038,225135.312359087,170543.741661382,197196.360679061,165674.632174928,167102.460548769
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B","H",55412.7765462191,42164.1080036767,45562.2682467974,59235.0181222705,49598.0492269312,53689.8062258295,43692.6554365249,43687.5005048572,49869.1749068779,61784.1861333366,50273.1395734005,49762.116600238,39050.1481194527,55989.912943416,43199.2572278901,51137.5419934998
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein","L",69772.162861302,75683.1088753028,70164.6856194607,56001.469829314,64805.44005588,75601.2661088223,77941.4453577472,77791.86047886,81635.4755862918,90273.9595900088,81331.8332709126,84533.6470573798,81433.8321659717,85260.4716726844,94569.6571369258,85399.8141366895
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein","H",33988.5497538362,33596.3966382515,27741.8669515063,25516.2639558863,26639.7249660665,26905.5105236017,28887.4767311343,25678.7259819116,27799.3991657192,32270.8653736828,30095.2131672539,30132.7266335066,27077.6709353225,27607.6433190006,24161.9973110685,25757.5963011398
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5","H",271206.620141565,318918.765002473,258759.698093884,263183.464505646,238380.151314313,191253.413935328,180158.938741917,144627.555039673,180053.286581108,219637.128269467,182688.082822025,192649.682326462,188714.337679225,216208.039881895,175885.283195284,191070.778414088
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5","L",2408703.63209132,2528174.51053073,2079179.72450358,2428241.68350275,2365614.96140103,2450727.11028957,2158400.62784469,2103274.72328335,2342668.81868305,2527578.39559826,2377921.59427709,2396421.56523777,2323059.70356279,2587930.58937352,2205558.60394657,2269344.16079886
