"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.1.Hprop","t1.2.Hprop","t2.1.Hprop","t2.2.Hprop","t3.1.Hprop","t3.2.Hprop","t4.1.Hprop","t4.2.Hprop","t5.1.Hprop","t5.2.Hprop","t6.1.Hprop","t6.2.Hprop","t7.1.Hprop","t7.2.Hprop","t8.1.Hprop","t8.2.Hprop","Av_expr","Amplitude","CV"
"A2A432","Cul4b","Cullin-4B",0.742325844468593,6,18,24,0.220163223334999,0.205570646315699,0.168357901614676,0.182530864197531,0.186130230682833,0.183948440294059,0.144424460431655,0.0993889193719324,0.226072891213821,0.139270526660124,0.16615459530904,0.104764235254064,0.195874707663996,0.148201289384329,0.211665280239189,0.147542418627723,0.170628789412229,0.742453675480445,0.223289815054509
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",1,18,18,24,0.0467404448189839,0.0395215013039506,0.0396877304554126,0.0460208498167702,0.0412400705231,0.0372871351075788,0.046410215220917,0.0407126556966693,0.0348269988175821,0.0400880998194961,0.0330518054925038,0.0440599545843961,0.0380126010703001,0.0490074308726204,0.0330699452903219,0.0412122753347651,0.0406843571390855,0.39218084055181,0.118920030687948
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.897535093525561,6,12,24,0.244220787879087,0.186478305729556,0.21990857378751,0.212160240863093,0.208746143525292,0.215640980012289,0.207686119556602,0.218615836095864,0.218155854753162,0.253823570888299,0.221116437840416,0.181020669377017,0.186313389957532,0.221141186456663,0.206819805727748,0.234317913296374,0.214760363484157,0.33899598757502,0.0916772477672754
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.034083057356335,6,18,24,0.327566656947549,0.30743547456924,0.283350462487153,0.313014883646321,0.291319119602147,0.262475432430008,0.270408763528476,0.248174160988708,0.254026874236527,0.263339275103981,0.270088942759103,0.262786078111595,0.249537331632443,0.244600907182994,0.203500889660825,0.23172180963631,0.267709191407711,0.463434843736002,0.1179276952382
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.664927657562299,6,18,24,0.101199889031954,0.112015566101446,0.110678529816825,0.0977859126791607,0.09154400872348,0.0723901679750037,0.0770384219910548,0.0643388978401536,0.0713726201571672,0.0799489979440151,0.0713455410466895,0.0744087991041979,0.0751318926705326,0.0771031922695296,0.0738565725377543,0.0776579492218534,0.0829885599444261,0.574496873945269,0.178461705616738
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.399569110376293,18,6,24,0.132687907659734,0.168327971848429,0.124340261530644,0.202669003167756,0.144236382806305,0.217472657976138,0.0907655192319212,0.13544837476429,0.124803726578038,0.180083850815663,0.0919744522251685,0.180738104428496,0.17001651553395,0.181814785759647,0.159375885276426,0.169294516832957,0.154628119777223,0.819431413424463,0.234703165134298
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.58627791105411,24,12,24,0.357982960448847,0.300156370225123,0.348100029941289,0.324142880803843,0.339257313605475,0.266725620540343,0.387604092896041,0.33473584308763,0.377562127274678,0.280543591266894,0.263932040744091,0.276698274521996,0.35086498876712,0.367531340267797,0.283667151367325,0.285503310346554,0.321562996006565,0.384596653494997,0.129997174533329
"A2AI08","Tprn","Taperin",0.801846290999874,6,6,24,0.0582461817540321,0.0471824546491966,0.0548485719511876,0.0393395966476862,0.0567996121177295,0.0517524990509933,0.0394853212909072,0.0627072850396177,0.0534361661644592,0.0531217148108723,0.0507008572129272,0.0534772286802503,0.0449946300378724,0.0460258733279991,0.0545150518932923,0.0501927559335167,0.0510516125351587,0.457726744201046,0.125132666163039
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.110644695217821,12,6,24,0.465021335486103,0.564826244324958,0.349883718304771,0.517379171413946,0.384275401463439,0.336956226394587,0.36108378112465,0.486917047792305,0.367646774162327,0.376260227632522,0.487672195905797,0.487179918853853,0.400646812563243,0.321680571342784,0.334724873607586,0.354183522584605,0.412271113934842,0.58977130524988,0.185741497632512
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.673110744195514,24,18,24,0.172475014784052,0.142780621012852,0.183617993424419,0.123326861313775,0.144999692236011,0.133385419413823,0.161323137097328,0.180734340212595,0.107205177291748,0.189665226443745,0.16328671134486,0.144811931537746,0.123567935723728,0.159431223352121,0.179243844242737,0.143805137727125,0.153353766697417,0.537711273272469,0.158678632540422
"A2AKB9","Dcaf10","DDB1- and CUL4-associated factor 10",0.513850436357357,6,12,24,0.5843688382495,0.59495534866046,0.586651738716308,0.544377795851972,0.657787384315636,0.548532795099437,0.525383494589329,0.563685774086827,0.593391103778572,0.549842852154037,0.592867285184521,0.562517247270004,0.548461003665782,0.557669603124149,0.562260990487026,0.583997087069319,0.57229689639393,0.231355246831828,0.0539147722774629
"A2AL36","Cntrl","Centriolin",0.692265842639357,6,12,24,0.356620071568341,0.281517056902661,0.301634992334366,0.314996405728716,0.31917817751644,0.198624933525792,0.346940642850607,0.206982112531397,0.296936992383695,0.303493387414665,0.222724865897737,0.25341139423773,0.229825564327982,0.237299706321809,0.161218652379186,0.315630367571281,0.271689707718275,0.719208029005551,0.210315808502999
"A2ALU4","Shroom2","Protein Shroom2",0.378897297015702,24,6,24,0.0675659808441684,0.0705467959282538,0.0710176227062434,0.0678464271392151,0.0917271884676548,0.0678195082410159,0.0885123596213021,0.076204093561816,0.05944466660002,0.053055764195929,0.0572993485821446,0.0566925002513074,0.0696021852682727,0.0592353213004524,0.0616267241168324,0.0624667371323757,0.0675414514973127,0.572558383250979,0.160058268826979
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.853430522236473,6,18,24,0.158966818510746,0.15860586909042,0.172620095500144,0.146369300319201,0.147296019698359,0.136567277950379,0.146958609379619,0.111187031457743,0.144685266955553,0.136717360776971,0.143925338136596,0.135188951633776,0.147749683273443,0.147740553736547,0.14737602549488,0.140954048179405,0.145181765630861,0.423145866668962,0.0901789921945973
"A2APB8","Tpx2","Targeting protein for Xklp2",0.0140572251185348,24,12,24,0.33875412344478,0.359393424775675,0.333408750247462,0.331073185020736,0.3556881204269,0.330602043314137,0.361627931841622,0.36427941467629,0.314479997070062,0.328415342493795,0.314409202812952,0.376584332289837,0.353750294475401,0.344158282312013,0.393796878684179,0.41686085845298,0.351080136396176,0.291818434080863,0.0796011680993957
"A2AR02","Ppig","Peptidyl-prolyl cis-trans isomerase G",0.827964021487027,24,6,24,0.0836742407071167,0.104618841678293,0.126909577750537,0.0976193779258871,0.108254702020803,0.0848422544068608,0.107623098212404,0.0613286260317387,0.0696390626063415,0.0904311238005459,0.0792489387285766,0.0823848178858803,0.0899485949201929,0.094947161293193,0.0901677452718309,0.111579494139513,0.0927011035862322,0.707445210269733,0.178960281339633
"A2AVA0","Svep1","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0.0255585911246088,6,18,24,0.526169469670682,0.477602426481155,0.568672009093121,0.536642388660984,0.485693362983466,0.44457622488037,0.411824747205565,0.419399255597581,0.473149638906376,0.496043437948817,0.390026596772665,0.436736812369468,0.421451985175939,0.40310266527624,0.379071890808499,0.39743288460042,0.454224737276959,0.417414778907154,0.125575181745673
"A2BE28","Las1l","Ribosomal biogenesis protein LAS1L",0.840985962589775,6,18,24,0.0410133943155121,0.0542755320557367,0.0336346422090394,0.0509955036458687,0.0339647874251262,0.0401613130043867,0.0309743532051584,0.053337582775594,0.0210495187913329,0.0377718264234008,0.0284117118621441,0.0338392425662937,0.0338285204737768,0.0217636080391159,0.027305113675092,0.0321834002849584,0.0359068781720336,0.925338401885415,0.280645740678339
"A2BH40","Arid1a","AT-rich interactive domain-containing protein 1A",0.827964021487027,12,6,24,0.196172744553414,0.240802639945155,0.267633039139016,0.248345289524791,0.25002405002405,0.217455983599866,0.2233098497245,0.266124220233252,0.312580603559453,0.19813059961364,0.201482585615607,0.215180713075609,0.192674175197423,0.199405800473033,0.274068868587491,0.178977706936833,0.230148054362696,0.580508477434582,0.161270592994483
"A2CG49","Kalrn","Kalirin",0.202556542240958,18,6,24,0.166556912010536,0.0817708601218854,0.138795276966474,0.0855184657023952,0.150724196535018,0.162872565125557,0.152245243576513,0.0960331249783235,0.0772366977264066,0.132214465459859,0.160729921449691,0.137184417321518,0.172756445997348,0.126310083122515,0.0543974868578146,0.112860500318674,0.125512916454408,0.943002222265521,0.292310957963746
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.791501589073402,6,18,24,0.226014880703716,0.188493783789351,0.210205176061245,0.150413549505276,0.199207008830906,0.162772379213973,0.170930549870378,0.155714178482963,0.197433857699933,0.161693763369027,0.170104266605941,0.167518834651585,0.191023380673512,0.189137647626666,0.181565070660198,0.174736173992248,0.181060281358557,0.417547849982212,0.114304994526284
"A2RSY6","Trmt1l","TRMT1-like protein",0.185676830387545,6,18,24,0.154051917178435,0.150734209790381,0.146285896433892,0.14765952319636,0.131896393404833,0.129948752010378,0.123941985046845,0.127939695505432,0.136665201804719,0.127444032617175,0.126870618393396,0.133879546692276,0.136067300682717,0.122708813796883,0.148200545938615,0.123279187362656,0.135473351240937,0.231359917610725,0.0784184876149533
"A3KFM7","Chd6","Chromodomain-helicase-DNA-binding protein 6",0.748934476454674,24,18,24,0.314905338916931,0.369576191207778,0.30910827877065,0.283706444791762,0.276929932048569,0.278686306348102,0.254101262834887,0.421047092870297,0.344216725559482,0.253974941097536,0.310178359783771,0.403957102312381,0.361693252592667,0.348864598771967,0.346910570368185,0.333484349258649,0.325708796720851,0.512949461159167,0.152652748268272
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.827964021487027,6,18,24,0.106455357457151,0.0977513716172459,0.105106946463005,0.0922542838417349,0.0948200311947408,0.0871498465313168,0.0954991582179524,0.0717781476870205,0.0792191502400614,0.0842976747518549,0.0744989965600206,0.092829187290192,0.086601413024566,0.0941472048975363,0.0844277110459921,0.0896694130394782,0.0897816183662418,0.386239526543991,0.10814023972135
"B1AXD8","Akirin2;Akirin1","Akirin-2;Akirin-1",0.265547268522771,6,18,24,0.370725344524471,0.448028623147415,0.306581757515563,0.38711570167782,0.382993009202575,0.401542842459108,0.38902571245988,0.369961416966215,0.370889603013563,0.433358137557138,0.443383512844353,0.413758925129862,0.360765988349147,0.384603081175146,0.343938129918153,0.353380939930714,0.385003295366945,0.367391311539397,0.0969463050320849
"B1AY10","Nfx1","Transcriptional repressor NF-X1",0.0514913495739208,18,12,24,0.0735075243922606,0.0580283772869192,0.0792710500135661,0.0739000748260039,0.0885077017054366,0.0643983310307482,0.0736589688786947,0.0791267518586516,0.0583695090338853,0.0722083952894777,0.0815276439597384,0.0715729959026574,0.0749887972639571,0.0856356126663607,0.0831777185133263,0.0664251207729469,0.0740190358371644,0.411776836509588,0.120849595742586
"B1AZI6","Thoc2","THO complex subunit 2",0.266379406917529,6,18,24,0.099024277081675,0.103268239647382,0.129723666774439,0.115351550487553,0.103162605859124,0.0914525789648293,0.0829825773917506,0.0478668486094828,0.0945351610977486,0.10218320217024,0.0964653599570641,0.0838356784128872,0.0878989288751131,0.0832901901481501,0.0970427640316038,0.11517278111851,0.095828525664222,0.854200955274821,0.188913079422573
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.214104348482232,6,18,24,0.121452757276201,0.120275665954502,0.102356413400942,0.107130343590533,0.106845488763733,0.0831138868280185,0.0785485770166223,0.0811864964519188,0.0724659956340542,0.0942029374860556,0.0881306727230734,0.0777821966343399,0.075431379032341,0.0729604943023291,0.0708553922781989,0.0834353584521208,0.0897608784890615,0.563690617223271,0.188212822958458
"B2RR83","Ythdc2","Probable ATP-dependent RNA helicase YTHDC2",0.883399364370639,18,6,24,0.0928546146615451,0.0969517531863683,0.0808014217896744,0.0681010758068551,0.0919991983753059,0.0872615504481744,0.0787542506283538,0.0285093540639616,0.0705556252413383,0.075634859415884,0.0795324941821994,0.0720725422250674,0.0584612083872373,0.0979712014174557,0.0882174518703018,0.0585657908855709,0.0766402745365808,0.906336097743746,0.232164034599289
