"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.1H","t1.2H","t2.1H","t2.2H","t3.1H","t3.2H","t4.1H","t4.2H","t5.1H","t5.2H","t6.1H","t6.2H","t7.1H","t7.2H","t8.1H","t8.2H","Av_expr","Amplitude","CV"
"A2A432","Cul4b","Cullin-4B",0.434973443761697,6,18,24,3406.69857305866,2635.76811511642,2139.00158404659,2761.8724154455,2328.07169840697,2476.62779174219,2098.45703234348,1196.69342940303,3403.68025646033,2480.02182903347,2726.08874217759,1745.44521403652,2786.49133694075,2180.31993510527,3540.92933611927,2005.87216732706,2494.50246604769,0.939760909689724,0.250956843911403
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",0.0281144502370696,6,18,24,20992.4927660698,18650.7212759937,18323.1660331337,16607.8477489075,17838.8538917351,16264.2703462494,15035.3457057477,13770.3457715857,17968.7788628161,18968.7031582454,15538.9531205779,18783.7876113378,16515.4016198151,21621.1478420366,14944.8414753227,18013.477843211,17489.8834420491,0.448876751892814,0.122838822468858
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.676678016636985,6,18,24,55412.7765462191,42164.1080036767,45562.2682467974,59235.0181222705,49598.0492269312,53689.8062258295,43692.6554365249,43687.5005048572,49869.1749068779,61784.1861333366,50273.1395734005,49762.116600238,39050.1481194527,55989.912943416,43199.2572278901,51137.5419934998,49631.7287382011,0.458054526647703,0.130499092921545
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.00233450134240914,6,18,24,33988.5497538362,33596.3966382515,27741.8669515063,25516.2639558863,26639.7249660665,26905.5105236017,28887.4767311343,25678.7259819116,27799.3991657192,32270.8653736828,30095.2131672539,30132.7266335066,27077.6709353225,27607.6433190006,24161.9973110685,25757.5963011398,28366.1017318055,0.346418853590646,0.103174486158809
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.0306703093495305,6,18,24,271206.620141565,318918.765002473,258759.698093884,263183.464505646,238380.151314313,191253.413935328,180158.938741917,144627.555039673,180053.286581108,219637.128269467,182688.082822025,192649.682326462,188714.337679225,216208.039881895,175885.283195284,191070.778414088,213337.201621522,0.816975232814796,0.213122493629517
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.832430111218511,18,18,24,5224.50835994583,4929.22581098706,3108.3821090523,5617.14599475457,4471.98330772056,5266.07341905784,2074.06649813608,3555.87094718858,4942.04632152818,6518.76889538205,4262.33134086757,4896.88935543547,7141.79529505518,6973.0694730959,5843.43088910701,5324.19920770893,5009.36170156394,1.01165160330446,0.268672810750875
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.700891593316205,24,18,24,2895.52010743706,2674.13430228641,3363.33660810336,2741.8845663787,2535.64578415771,2193.6538811553,3950.27100958972,2872.77013760421,2552.16432808966,1964.81554939239,1914.88188703724,2524.13322310146,3356.11583337859,2467.05583755351,2439.34273055548,2262.33342633566,2669.25370075978,0.762531160666041,0.200489571202845
"A2AI08","Tprn","Taperin",0.473098940910675,6,6,24,7325.24792011107,6395.43332701369,6600.26509013552,5347.49683468047,7121.00686799982,6838.18785406438,4294.6006430176,6425.29255141248,6591.91672381483,6685.92748439542,5053.3745363421,5979.30645704144,5209.74070277119,6604.09519223062,6391.0981222466,6270.11084283033,6195.81882188172,0.489143947590939,0.132218872021209
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.227818798997826,12,6,24,2259.0681818056,2984.9335879776,1949.07494686498,2926.53866733696,2114.01373665882,2073.35862049517,2374.84160619362,2591.85533726639,1968.21735761763,2348.64578801052,2771.07653001688,2564.7249722651,2202.68622301212,1432.62884770859,1609.01829717831,1259.00065085618,2214.35520945403,0.779429122189915,0.226498640797196
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.279222936158017,12,12,24,28791.6060371484,19245.0101982954,25955.8018866197,17993.7342183151,16759.0183766648,20294.7049551493,15787.8932392467,19020.5746092139,13115.2313368129,20164.0899068089,19574.9188482161,21270.7855879337,14672.5758360501,19700.915136234,18370.1969915375,15591.9718257273,19144.3143118734,0.818852764583632,0.206626537803291
