"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.1T","t1.2T","t2.1T","t2.2T","t3.1T","t3.2T","t4.1T","t4.2T","t5.1T","t5.2T","t6.1T","t6.2T","t7.1T","t7.2T","t8.1T","t8.2T","Av_expr","Amplitude","CV"
"A2A432","Cul4b","Cullin-4B",0.314019711107274,12,6,24,15473.5133391241,12821.7143952966,12705.0857936099,15130.9885458969,12507.7570143564,13463.7063939388,14529.7896635489,12040.5115274951,15055.676238692,17807.2266150448,16406.9416022301,16660.6973248422,14225.8863850901,14711.8823605581,16728.9095883742,13595.223570167,14616.5943973916,0.394532059299587,0.116798633038615
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",0.0399614941963693,6,18,24,449129.075415723,471913.279117495,461683.392395515,360876.598651066,432561.187831697,436189.862785775,323966.299966032,338232.560267795,515943.936396402,473175.412245913,470139.312785869,426323.353905365,434471.758174919,441181.009839794,451916.123359793,437090.107180167,432799.579394958,0.443571679757059,0.117873937077059
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.0514913495739208,12,12,24,226896.232001568,226107.309580697,207187.320903743,279199.42907915,237599.83484879,248977.750995056,210378.312858877,199836.852101144,228594.254155148,243413.903275855,227360.480588439,274897.428959325,209593.889780835,253186.273622477,208873.889402819,218240.002542269,231271.447793512,0.343157695146458,0.102297968090965
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.688143914051891,6,6,24,103760.712615138,109279.505513554,97906.552570967,81517.7337852003,91445.1650219465,102506.776632424,106828.922088882,103470.586460772,109434.874752011,122544.824963692,111427.046438166,114666.373690886,108511.503101294,112868.114991685,118731.654447994,111157.410437829,106628.609844528,0.384766257745574,0.0949554427230719
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.0559165957964263,6,18,24,2679910.25223289,2847093.27553321,2337939.42259746,2691425.1480084,2603995.11271535,2641980.5242249,2338559.56658661,2247902.27832302,2522722.10526416,2747215.52386773,2560609.67709912,2589071.24756423,2511774.04124201,2804138.62925541,2381443.88714185,2460414.93921294,2560387.22692933,0.234023584756279,0.0683578146375952
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.858038494704348,6,18,24,39374.4121230971,29283.4622603639,24998.9992846061,27715.8613648731,31004.544212163,24214.875874813,22850.8195148038,26252.5922025759,39598.5477119385,36198.5201108053,46342.557500997,27093.8403991771,42006.4796212639,38352.5984642088,36664.460743054,31449.330476322,32712.6188665664,0.718124650368567,0.218598075642054
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.897535093525561,24,6,24,8088.42997389203,8909.13726162386,9661.98310488691,8458.87640530342,7474.10794835932,8224.38383201176,10191.5100536599,8582.20055284654,6759.58774390778,7003.60161684522,7255.20812720844,9122.33091247849,9565.26282423164,6712.50466900569,8599.31338118434,7924.01819645999,8283.27853774408,0.420003428449444,0.127802104138899
"A2AI08","Tprn","Taperin",0.513850436357357,6,18,24,125763.572813148,135546.854748529,120336.133746735,135931.664032325,125370.695370947,132132.514940515,108764.48519634,102464.849934949,123360.585104984,125860.535718757,99670.3964021666,111810.32758434,115785.832629052,143486.58080135,117235.477180807,124920.632992049,121777.571199812,0.359805044290874,0.0997936497595759
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.718028074820449,12,12,24,4857.98824573095,5284.69351055916,5570.63631399737,5656.46788474113,5501.29862231099,6153.19871865847,6576.98221392502,5322.99156297348,5353.5553578626,6242.07826266545,5682.25245007032,5264.4308047403,5497.8254011803,4453.57592386881,4806.98754125049,3554.65618973124,5361.22618776663,0.563737831298779,0.134661915275022
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.00270754509461311,12,12,24,166932.039827316,134787.270581791,141357.61644353,145902.798681744,115579.68239951,152150.850102932,97865.0274431602,105240.512604524,122337.667528138,106314.110840922,119880.66075306,146885.587134023,118740.96423246,123569.992891056,102487.18481322,108424.302998921,125528.516829769,0.550209738220826,0.161842543585261
