"Leading.razor.protein","Gene.names.syn","Protein.names.syn","pVal.syn","phase.syn","peak.shape.syn","period.syn","t1.1H","t1.2H","t2.1H","t2.2H","t3.1H","t3.2H","t4.1H","t4.2H","t5.1H","t5.2H","t6.1H","t6.2H","t7.1H","t7.2H","t8.1H","t8.2H","Av_expr.syn","Amplitude.syn","CV.syn","Gene.names.tot","Protein.names.tot","pVal.tot","phase.tot","peak.shape.tot","period.tot","t1.1T","t1.2T","t2.1T","t2.2T","t3.1T","t3.2T","t4.1T","t4.2T","t5.1T","t5.2T","t6.1T","t6.2T","t7.1T","t7.2T","t8.1T","t8.2T","Av_expr.tot","Amplitude.tot","CV.tot"
"A2A432","Cul4b","Cullin-4B",0.434973443761697,6,18,24,3406.69857305866,2635.76811511642,2139.00158404659,2761.8724154455,2328.07169840697,2476.62779174219,2098.45703234348,1196.69342940303,3403.68025646033,2480.02182903347,2726.08874217759,1745.44521403652,2786.49133694075,2180.31993510527,3540.92933611927,2005.87216732706,2494.50246604769,0.939760909689724,0.250956843911403,"Cul4b","Cullin-4B",0.314019711107274,12,6,24,15473.5133391241,12821.7143952966,12705.0857936099,15130.9885458969,12507.7570143564,13463.7063939388,14529.7896635489,12040.5115274951,15055.676238692,17807.2266150448,16406.9416022301,16660.6973248422,14225.8863850901,14711.8823605581,16728.9095883742,13595.223570167,14616.5943973916,0.394532059299587,0.116798633038615
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",0.0281144502370696,6,18,24,20992.4927660698,18650.7212759937,18323.1660331337,16607.8477489075,17838.8538917351,16264.2703462494,15035.3457057477,13770.3457715857,17968.7788628161,18968.7031582454,15538.9531205779,18783.7876113378,16515.4016198151,21621.1478420366,14944.8414753227,18013.477843211,17489.8834420491,0.448876751892814,0.122838822468858,"Cdc27","Cell division cycle protein 27 homolog",0.0399614941963693,6,18,24,449129.075415723,471913.279117495,461683.392395515,360876.598651066,432561.187831697,436189.862785775,323966.299966032,338232.560267795,515943.936396402,473175.412245913,470139.312785869,426323.353905365,434471.758174919,441181.009839794,451916.123359793,437090.107180167,432799.579394958,0.443571679757059,0.117873937077059
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.676678016636985,6,18,24,55412.7765462191,42164.1080036767,45562.2682467974,59235.0181222705,49598.0492269312,53689.8062258295,43692.6554365249,43687.5005048572,49869.1749068779,61784.1861333366,50273.1395734005,49762.116600238,39050.1481194527,55989.912943416,43199.2572278901,51137.5419934998,49631.7287382011,0.458054526647703,0.130499092921545,"Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.0514913495739208,12,12,24,226896.232001568,226107.309580697,207187.320903743,279199.42907915,237599.83484879,248977.750995056,210378.312858877,199836.852101144,228594.254155148,243413.903275855,227360.480588439,274897.428959325,209593.889780835,253186.273622477,208873.889402819,218240.002542269,231271.447793512,0.343157695146458,0.102297968090965
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.00233450134240914,6,18,24,33988.5497538362,33596.3966382515,27741.8669515063,25516.2639558863,26639.7249660665,26905.5105236017,28887.4767311343,25678.7259819116,27799.3991657192,32270.8653736828,30095.2131672539,30132.7266335066,27077.6709353225,27607.6433190006,24161.9973110685,25757.5963011398,28366.1017318055,0.346418853590646,0.103174486158809,"Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.688143914051891,6,6,24,103760.712615138,109279.505513554,97906.552570967,81517.7337852003,91445.1650219465,102506.776632424,106828.922088882,103470.586460772,109434.874752011,122544.824963692,111427.046438166,114666.373690886,108511.503101294,112868.114991685,118731.654447994,111157.410437829,106628.609844528,0.384766257745574,0.0949554427230719
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.0306703093495305,6,18,24,271206.620141565,318918.765002473,258759.698093884,263183.464505646,238380.151314313,191253.413935328,180158.938741917,144627.555039673,180053.286581108,219637.128269467,182688.082822025,192649.682326462,188714.337679225,216208.039881895,175885.283195284,191070.778414088,213337.201621522,0.816975232814796,0.213122493629517,"Ckap5","Cytoskeleton-associated protein 5",0.0559165957964263,6,18,24,2679910.25223289,2847093.27553321,2337939.42259746,2691425.1480084,2603995.11271535,2641980.5242249,2338559.56658661,2247902.27832302,2522722.10526416,2747215.52386773,2560609.67709912,2589071.24756423,2511774.04124201,2804138.62925541,2381443.88714185,2460414.93921294,2560387.22692933,0.234023584756279,0.0683578146375952
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.832430111218511,18,18,24,5224.50835994583,4929.22581098706,3108.3821090523,5617.14599475457,4471.98330772056,5266.07341905784,2074.06649813608,3555.87094718858,4942.04632152818,6518.76889538205,4262.33134086757,4896.88935543547,7141.79529505518,6973.0694730959,5843.43088910701,5324.19920770893,5009.36170156394,1.01165160330446,0.268672810750875,"Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.858038494704348,6,18,24,39374.4121230971,29283.4622603639,24998.9992846061,27715.8613648731,31004.544212163,24214.875874813,22850.8195148038,26252.5922025759,39598.5477119385,36198.5201108053,46342.557500997,27093.8403991771,42006.4796212639,38352.5984642088,36664.460743054,31449.330476322,32712.6188665664,0.718124650368567,0.218598075642054
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.700891593316205,24,18,24,2895.52010743706,2674.13430228641,3363.33660810336,2741.8845663787,2535.64578415771,2193.6538811553,3950.27100958972,2872.77013760421,2552.16432808966,1964.81554939239,1914.88188703724,2524.13322310146,3356.11583337859,2467.05583755351,2439.34273055548,2262.33342633566,2669.25370075978,0.762531160666041,0.200489571202845,"Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.897535093525561,24,6,24,8088.42997389203,8909.13726162386,9661.98310488691,8458.87640530342,7474.10794835932,8224.38383201176,10191.5100536599,8582.20055284654,6759.58774390778,7003.60161684522,7255.20812720844,9122.33091247849,9565.26282423164,6712.50466900569,8599.31338118434,7924.01819645999,8283.27853774408,0.420003428449444,0.127802104138899
"A2AI08","Tprn","Taperin",0.473098940910675,6,6,24,7325.24792011107,6395.43332701369,6600.26509013552,5347.49683468047,7121.00686799982,6838.18785406438,4294.6006430176,6425.29255141248,6591.91672381483,6685.92748439542,5053.3745363421,5979.30645704144,5209.74070277119,6604.09519223062,6391.0981222466,6270.11084283033,6195.81882188172,0.489143947590939,0.132218872021209,"Tprn","Taperin",0.513850436357357,6,18,24,125763.572813148,135546.854748529,120336.133746735,135931.664032325,125370.695370947,132132.514940515,108764.48519634,102464.849934949,123360.585104984,125860.535718757,99670.3964021666,111810.32758434,115785.832629052,143486.58080135,117235.477180807,124920.632992049,121777.571199812,0.359805044290874,0.0997936497595759
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.227818798997826,12,6,24,2259.0681818056,2984.9335879776,1949.07494686498,2926.53866733696,2114.01373665882,2073.35862049517,2374.84160619362,2591.85533726639,1968.21735761763,2348.64578801052,2771.07653001688,2564.7249722651,2202.68622301212,1432.62884770859,1609.01829717831,1259.00065085618,2214.35520945403,0.779429122189915,0.226498640797196,"Kiaa1429","Protein virilizer homolog",0.718028074820449,12,12,24,4857.98824573095,5284.69351055916,5570.63631399737,5656.46788474113,5501.29862231099,6153.19871865847,6576.98221392502,5322.99156297348,5353.5553578626,6242.07826266545,5682.25245007032,5264.4308047403,5497.8254011803,4453.57592386881,4806.98754125049,3554.65618973124,5361.22618776663,0.563737831298779,0.134661915275022
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.279222936158017,12,12,24,28791.6060371484,19245.0101982954,25955.8018866197,17993.7342183151,16759.0183766648,20294.7049551493,15787.8932392467,19020.5746092139,13115.2313368129,20164.0899068089,19574.9188482161,21270.7855879337,14672.5758360501,19700.915136234,18370.1969915375,15591.9718257273,19144.3143118734,0.818852764583632,0.206626537803291,"Map7d1","MAP7 domain-containing protein 1",0.00270754509461311,12,12,24,166932.039827316,134787.270581791,141357.61644353,145902.798681744,115579.68239951,152150.850102932,97865.0274431602,105240.512604524,122337.667528138,106314.110840922,119880.66075306,146885.587134023,118740.96423246,123569.992891056,102487.18481322,108424.302998921,125528.516829769,0.550209738220826,0.161842543585261
