"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.av","t2.av","t3.av","t4.av","t5.av","t6.av","t7.av","t8.av","FCday1","FCday2","FCav","anova_pval","anova_BHadjpval"
"A2A432","Cul4b","Cullin-4B",0.314019711107274,12,6,24,14147.6138672103,13918.0371697534,12985.7317041476,13285.150595522,16431.4514268684,16533.8194635362,14468.8843728241,15162.0665792706,1.08947375392729,1.1427155707036,1.11609466231545,0.684343984750385,0.999825464286451
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",0.0399614941963693,6,18,24,460521.177266609,411279.99552329,434375.525308736,331099.430116914,494559.674321158,448231.333345617,437826.384007356,444503.11526998,1.3908848381406,1.12957942322829,1.26023213068445,0.39142159838629,0.933041938393938
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.0514913495739208,12,12,24,226501.770791132,243193.374991447,243288.792921923,205107.582480011,236004.078715501,251128.954773882,231390.081701656,213556.945972544,1.1861521157836,1.17593437961118,1.18104324769739,0.0190461372867946,0.443255558674492
"A2AGH6","Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.688143914051891,6,6,24,106520.109064346,89712.1431780836,96975.9708271852,105149.754274827,115989.849857851,113046.710064526,110689.80904649,114944.532442911,1.18735441257821,1.04788192207592,1.11761816732706,0.751862777140875,0.999825464286451
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.0559165957964263,6,18,24,2763501.76388305,2514682.28530293,2622987.81847013,2293230.92245481,2634968.81456594,2574840.46233167,2657956.33524871,2420929.4131774,1.2050691174724,1.09790740728794,1.15148826238017,0.0269358148025073,0.469033729110315
"A2AH22","Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.858038494704348,6,18,24,34328.9371917305,26357.4303247396,27609.710043488,24551.7058586898,37898.5339113719,36718.198950087,40179.5390427363,34056.895609688,1.39823022438093,1.17977690929959,1.28900356684026,0.76836751051163,0.999825464286451
"A2AI05","Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.897535093525561,24,6,24,8498.78361775794,9060.42975509516,7849.24589018554,9386.85530325322,6881.5946803765,8188.76951984346,8138.88374661867,8261.66578882217,1.19589262899641,1.20054524751088,1.19821893825364,0.49723306027276,0.990237901852143
"A2AI08","Tprn","Taperin",0.513850436357357,6,18,24,130655.213780839,128133.89888953,128751.605155731,105614.667565645,124610.560411871,105740.361993253,129636.206715201,121078.055086428,1.23709345294895,1.22598603098666,1.2315397419678,0.413051525584843,0.944261541518149
"A2AIV2","Kiaa1429","Protein virilizer homolog",0.718028074820449,12,12,24,5071.34087814506,5613.55209936925,5827.24867048473,5949.98688844925,5797.81681026402,5473.34162740531,4975.70066252455,4180.82186549087,1.17325713877581,1.38676485073906,1.28001099475743,0.890540177444662,0.999825464286451
"A2AJI0","Map7d1","MAP7 domain-containing protein 1",0.00270754509461311,12,12,24,150859.655204554,143630.207562637,133865.266251221,101552.770023842,114325.88918453,133383.123943541,121155.478561758,105455.743906071,1.48552969228841,1.26482559415963,1.37517764322402,0.174699869323044,0.753669923076423
