"Leading.razor.protein","Gene.names","Protein.names","S1","S2","S3","S4","S5","S6","S7","S8"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",47930.064698322,48044.5100287782,43014.8988163044,46989.2860005959,50368.4602456811,49685.236575521,46018.2296782593,46344.728598075
"A2A432","Cul4b;Cul4a","Cullin-4B;Cullin-4A",415341.631688084,411734.043842604,392339.94461082,365133.341736765,364361.206577352,368751.996382942,378775.668545946,364341.844539579
"A2A5N8","L3mbtl1","Lethal(3)malignant brain tumor-like protein 1",6516.7361996235,5933.98249621288,7079.37910885094,5725.08827185508,5881.23493124527,5038.11479606131,5865.63849132498,4819.06418454757
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",568517.607960306,586418.547947452,530692.942675255,649743.905394397,590837.281010607,667662.447714613,647852.738414684,618729.815483012
"A2A5Z6","Smurf1;Smurf2","E3 ubiquitin-protein ligase SMURF1;E3 ubiquitin-protein ligase SMURF2",78237.7800808963,84725.2360954032,89546.5713246694,83348.2963440966,88473.8523185905,86465.6220862393,89971.466849896,85592.2284121019
"A2A690","Tanc2","Protein TANC2",13454.6903443114,13258.9236866429,11247.1052487472,14934.4591048562,13324.7010997271,16549.1171477829,11522.818256762,12353.1591038138
"A2A699","Fam171a2","Protein FAM171A2",8758.63380876722,7321.10277517901,7011.23990748241,7548.43962940799,6424.21602822887,6301.29019229109,6376.3899679931,5992.65480695059
"A2A6A1","Gpatch8","G patch domain-containing protein 8",25613.5711111495,20343.3933486426,22200.7049435043,20728.0699219077,24213.2086709042,19782.3194169779,24111.2046609027,19620.6221095665
"A2A6Q5","Cdc27","Cell division cycle protein 27 homolog",10833.9045201256,13647.0185908096,10930.5621552468,11546.5425438711,10928.053376214,11879.8252561059,12808.6203802113,12832.891446666
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",55388.0804208107,97104.8514666982,55111.0266259132,71425.6696868926,59026.5844127825,69562.9779029438,63056.3727334154,76535.3576144661
