"Leading.razor.protein","Gene.names","Protein.names","Label","S1L","S2L","S3L","S4L","S5L","S6L","S7L","S8L","S1H","S2H","S3H","S4H","S5H","S6H","S7H","S8H","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","S1.Hprop","S2.Hprop","S3.Hprop","S4.Hprop","S5.Hprop","S6.Hprop","S7.Hprop","S8.Hprop"
"A1A5B6","Tbc1d25","TBC1 domain family member 25","L",19859.046209222,18157.1069728455,18317.6402742241,19681.7268287789,20442.5782192968,20456.8540200748,15478.7696064306,20094.548411702,28364.7290304318,30292.5322370197,25436.3538537677,27328.2135229609,30316.4578584443,29205.9965456869,30435.2775960409,26256.6577858091,48223.7752396539,48449.6392098652,43753.9941279917,47009.9403517398,50759.0360777411,49662.8505657617,45914.0472024715,46351.2061975111,0.588189723626363,0.625237519433408,0.581349299891566,0.581328402429031,0.597262284729215,0.588085384003751,0.662875077464366,0.566471941936626
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2","L",55424.5124105075,60872.5485139184,37607.8894886842,59431.6041518533,54952.0344700852,63384.8594957588,64795.2273315586,44643.3952256693,7443.10289964506,10234.2435113653,7706.81709780726,9112.07154215491,9493.37530138202,9921.33119612488,8810.25058237938,9408.80664836404,62867.6153101525,71106.7920252836,45314.7065864915,68543.6756940082,64445.4097714672,73306.1906918837,73605.477913938,54052.2018740333,0.118393275503216,0.143927791141615,0.170073198710829,0.132938180654812,0.147308789486278,0.135340973285948,0.119695582884206,0.174068887522675
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2","L",3531.81504210003,4263.92812859667,3690.0350005119,2993.40050097523,3672.05745814924,3443.56367661228,3802.78050026108,4475.52937164674,6166.73679187462,5932.13063948048,7005.05344676098,6716.87700190783,5541.57091549033,6071.34397943846,5914.58986402268,5466.8207681305,9698.55183397466,10196.0587680771,10695.0884472729,9710.27750288307,9213.62837363957,9514.90765605073,9717.37036428375,9942.35013977724,0.635840989195123,0.581806242432948,0.654978542841989,0.691728634934844,0.601453704313158,0.638087535781554,0.608661566071597,0.549851965709688
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like","L",24994.0241548695,22728.814593918,21917.2216118953,24930.8458434906,23886.3504019423,22377.5950652184,23008.8826194262,25502.8045251618,2875.88652059617,2965.01916238988,2484.02054259241,3507.94060160815,4204.60758662024,3132.92406003343,3780.56831901845,3823.31809485002,27869.9106754657,25693.8337563079,24401.2421544878,28438.7864450988,28090.9579885626,25510.5191252519,26789.4509384447,29326.1226200118,0.103189656905785,0.115398083077499,0.101798938220674,0.123350572936024,0.149678326681923,0.122809106496476,0.141121530549664,0.130372437720117
"A2A870","Fbf1","Fas-binding factor 1","L",8810.25108386456,8730.91539889818,8410.84982591455,8634.67236642849,7919.02994029938,9206.29306956693,7624.65246208606,7106.73366397934,6827.05498168415,5097.08784242325,7777.88046576301,7051.34288417757,7517.12656532346,5496.03292943814,6157.82242721671,4399.73378530411,15637.3060655487,13828.0032413214,16188.7302916776,15686.0152506061,15436.1565056228,14702.3259990051,13782.4748893028,11506.4674492834,0.436587667534702,0.368606208247906,0.480450308679337,0.449530538605407,0.486981753688831,0.373820641020344,0.446786406409206,0.382370506386658
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F","L",8053.5469857264,7123.39001433523,6765.45953709306,6549.94039793977,6127.83522643278,5910.15158387343,5866.21870900258,5597.8989269206,18168.5569255512,18266.9534946333,16329.1036498601,17472.0393549531,14766.2020329587,14270.3870797334,12426.8893323923,13639.1029388941,26222.1039112776,25390.3435089685,23094.5631869532,24021.9797528929,20894.0372593915,20180.5386636069,18293.1080413949,19237.0018658147,0.692871822452709,0.719444913700397,0.70705401603287,0.727335529156335,0.706718469467722,0.707136083808721,0.679320829695638,0.709003566877622
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B","L",64394.0057169498,57562.6112731148,46803.221138505,51213.7794000669,56719.3177091742,53936.6765813396,49505.6284091819,44678.6776095689,25319.0464038847,15590.8829924128,16636.4604517587,19296.4885119295,13106.2605230345,16172.9028540217,13978.988443189,11184.7208263378,89713.0521208345,73153.4942655276,63439.6815902637,70510.2679119964,69825.5782322087,70109.5794353613,63484.6168523708,55863.3984359067,0.282222550736346,0.213125608680046,0.262240604535316,0.273669198591238,0.187699992679601,0.230680357581272,0.220194893444756,0.200215546126688
"A2AF47","Dock11","Dedicator of cytokinesis protein 11","L",458.187973913377,1148.26230775497,1886.22187688632,1941.20600069843,1774.21410134336,1328.62224535449,1849.85248249528,1403.50041070708,1028.20975270341,1350.06606063938,1067.91017679795,661.641870236019,1131.37662724952,869.294794047477,1255.81431306442,870.2851275162,1486.39772661678,2498.32836839435,2954.13205368426,2602.84787093445,2905.59072859288,2197.91703940197,3105.6667955597,2273.78553822328,0.691746047704024,0.540387755956618,0.361497102157671,0.254199209114162,0.389379211640527,0.395508464816308,0.404362217756236,0.382747234902477
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5","L",212010.42528022,215030.634112219,212858.096637266,223408.787614067,232143.253341797,209850.021191617,238891.45854919,237812.498340102,75206.1323425934,70112.8379267067,66071.2952816873,76890.7034505225,68274.4512596782,70353.7980648229,67518.0552512382,64279.7854720228,287216.557622814,285143.472038926,278929.391918953,300299.49106459,300417.704601476,280203.81925644,306409.513800429,302092.283812125,0.261844696437584,0.245886175914753,0.236874625607348,0.256046732473431,0.227265071977861,0.251080796298625,0.220352346158593,0.212781950802819
"A2AI08","Tprn","Taperin","L",39236.1628768009,37568.5566087725,37674.93040185,35716.530924717,37230.8593149712,44892.8921768995,36545.4631552207,38437.2854367571,17337.3218634148,20038.0978887925,16565.2939439365,18289.929935341,16764.0230777841,16305.5423252467,18763.7859976436,13028.840775513,56573.4847402156,57606.654497565,54240.2243457865,54006.4608600581,53994.8823927552,61198.4345021462,55309.2491528643,51466.12621227,0.306456672114639,0.347843457731772,0.305406073513472,0.338661886820061,0.310474295616456,0.266437245623904,0.339252227882972,0.253153709719205
