"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","Av_expr","Amplitude","CV"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",0.0289634146341463,12,6,24,48223.7752396539,48449.6392098652,43753.9941279917,47009.9403517398,50759.0360777411,49662.8505657617,45914.0472024715,46351.2061975111,47515.561121592,0.147426270139661,0.0469457153871193
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.562915742793792,12,12,24,62867.6153101525,71106.7920252836,45314.7065864915,68543.6756940082,64445.4097714672,73306.1906918837,73605.477913938,54052.2018740333,64155.2587334073,0.44097353647979,0.155806008264925
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",0.220028208744711,18,12,24,9698.55183397466,10196.0587680771,10695.0884472729,9710.27750288307,9213.62837363957,9514.90765605073,9717.37036428375,9942.35013977724,9836.02913574488,0.150615665446698,0.0457615207636321
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",0.0289634146341463,24,18,24,27869.9106754657,25693.8337563079,24401.2421544878,28438.7864450988,28090.9579885626,25510.5191252519,26789.4509384447,29326.1226200118,27015.1029629539,0.182301006673102,0.0628009691959367
"A2A870","Fbf1","Fas-binding factor 1",0.881513303769401,6,18,24,15637.3060655487,13828.0032413214,16188.7302916776,15686.0152506061,15436.1565056228,14702.3259990051,13782.4748893028,11506.4674492834,14595.934961546,0.320792251728303,0.104621887145389
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",0.750554323725055,6,12,24,26222.1039112776,25390.3435089685,23094.5631869532,24021.9797528929,20894.0372593915,20180.5386636069,18293.1080413949,19237.0018658147,22166.7095237875,0.357698370223778,0.132399116074803
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.314174894217207,6,18,24,89713.0521208345,73153.4942655276,63439.6815902637,70510.2679119964,69825.5782322087,70109.5794353613,63484.6168523708,55863.3984359067,69512.4586055587,0.486958084406195,0.142026761912454
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.258110014104372,18,18,24,1486.39772661678,2498.32836839435,2954.13205368426,2602.84787093445,2905.59072859288,2197.91703940197,3105.6667955597,2273.78553822328,2503.08326517596,0.646909789806409,0.209116299040462
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.473946784922395,24,12,24,287216.557622814,285143.472038926,278929.391918953,300299.49106459,300417.704601476,280203.81925644,306409.513800429,302092.283812125,292589.029264469,0.0939205477066501,0.0371339591683739
"A2AI08","Tprn","Taperin",0.0176304654442877,12,12,24,56573.4847402156,57606.654497565,54240.2243457865,54006.4608600581,53994.8823927552,61198.4345021462,55309.2491528643,51466.12621227,55549.4395879576,0.17520083662529,0.0528949222416223
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",0.212860310421286,6,18,24,41645.0634074327,34583.3466095206,32440.994741063,31462.8084533107,33311.2834385623,28536.8253507816,27484.728925688,27059.5371496658,32065.5735095031,0.454865597630564,0.148471671358168
"A2ALU4","Shroom2","Protein Shroom2",0.923579946146942,6,18,24,524590.579770361,557790.176064863,544156.652585481,527354.707516219,563522.419170265,501189.88594669,521930.269819207,511886.87699338,531552.695983308,0.117265011906801,0.0410733868601975
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.833148558758315,6,18,24,330023.295378882,285809.037345225,276070.87052143,299672.145282459,288230.043234481,311345.137063955,302745.238182379,265885.583506328,294972.668814392,0.217436117489623,0.0691441543919234
