"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1H","S2H","S3H","S4H","S5H","S6H","S7H","S8H","FCav","anova_pval"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",0.562915742793792,12,12,24,28364.7290304318,30292.5322370197,25436.3538537677,27328.2135229609,30316.4578584443,29205.9965456869,30435.2775960409,26256.6577858091,1.11036057994542,0.498624506165196
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.212860310421286,12,6,24,7443.10289964506,10234.2435113653,7706.81709780726,9112.07154215491,9493.37530138202,9921.33119612488,8810.25058237938,9408.80664836404,1.2202877107338,0.294971859092792
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",0.846614950634697,18,12,24,6166.73679187462,5932.13063948048,7005.05344676098,6716.87700190783,5541.57091549033,6071.34397943846,5914.58986402268,5466.8207681305,1.10345949506065,0.812065123138598
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",0.917960088691796,6,6,24,2875.88652059617,2965.01916238988,2484.02054259241,3507.94060160815,4204.60758662024,3132.92406003343,3780.56831901845,3823.31809485002,1.20225105893078,0.755745978650721
"A2A870","Fbf1","Fas-binding factor 1",0.917960088691796,6,6,24,6827.05498168415,5097.08784242325,7777.88046576301,7051.34288417757,7517.12656532346,5496.03292943814,6157.82242721671,4399.73378530411,1.35410346544053,0.397877195768157
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",0.920310296191819,12,6,24,18168.5569255512,18266.9534946333,16329.1036498601,17472.0393549531,14766.2020329587,14270.3870797334,12426.8893323923,13639.1029388941,1.14531809000081,0.849163459259678
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.753526093088858,6,18,24,25319.0464038847,15590.8829924128,16636.4604517587,19296.4885119295,13106.2605230345,16172.9028540217,13978.988443189,11184.7208263378,1.26062278239986,0.901477206455443
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.51410437235543,18,6,24,1028.20975270341,1350.06606063938,1067.91017679795,661.641870236019,1131.37662724952,869.294794047477,1255.81431306442,870.2851275162,1.51686372344893,0.267677139888028
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.562915742793792,6,12,24,75206.1323425934,70112.8379267067,66071.2952816873,76890.7034505225,68274.4512596782,70353.7980648229,67518.0552512382,64279.7854720228,1.07404207767975,0.795396266843662
"A2AI08","Tprn","Taperin",0.846614950634697,12,12,24,17337.3218634148,20038.0978887925,16565.2939439365,18289.929935341,16764.0230777841,16305.5423252467,18763.7859976436,13028.840775513,1.16044274373271,0.73653941321882
