"Leading.razor.protein","Gene.names.syn","Protein.names.syn","pVal.syn","phase.syn","peak.shape.syn","period.syn","S1H","S2H","S3H","S4H","S5H","S6H","S7H","S8H","Av_expr.syn","Amplitude.syn","CV.syn","Gene.names.tot","Protein.names.tot","pVal.tot","phase.tot","peak.shape.tot","period.tot","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","Av_expr.tot","Amplitude.tot","CV.tot"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",0.562915742793792,12,12,24,28364.7290304318,30292.5322370197,25436.3538537677,27328.2135229609,30316.4578584443,29205.9965456869,30435.2775960409,26256.6577858091,28454.5273037702,0.175681138150935,0.0684431535651103,"Tbc1d25","TBC1 domain family member 25",0.0289634146341463,12,6,24,48223.7752396539,48449.6392098652,43753.9941279917,47009.9403517398,50759.0360777411,49662.8505657617,45914.0472024715,46351.2061975111,47515.561121592,0.147426270139661,0.0469457153871193
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.212860310421286,12,6,24,7443.10289964506,10234.2435113653,7706.81709780726,9112.07154215491,9493.37530138202,9921.33119612488,8810.25058237938,9408.80664836404,9016.24984740286,0.309567798026829,0.110318702290238,"Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.562915742793792,12,12,24,62867.6153101525,71106.7920252836,45314.7065864915,68543.6756940082,64445.4097714672,73306.1906918837,73605.477913938,54052.2018740333,64155.2587334073,0.44097353647979,0.155806008264925
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",0.846614950634697,18,12,24,6166.73679187462,5932.13063948048,7005.05344676098,6716.87700190783,5541.57091549033,6071.34397943846,5914.58986402268,5466.8207681305,6101.89042588823,0.252091167042968,0.0871652635633277,"Smurf2","E3 ubiquitin-protein ligase SMURF2",0.220028208744711,18,12,24,9698.55183397466,10196.0587680771,10695.0884472729,9710.27750288307,9213.62837363957,9514.90765605073,9717.37036428375,9942.35013977724,9836.02913574488,0.150615665446698,0.0457615207636321
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",0.917960088691796,6,6,24,2875.88652059617,2965.01916238988,2484.02054259241,3507.94060160815,4204.60758662024,3132.92406003343,3780.56831901845,3823.31809485002,3346.78561096359,0.514101362929084,0.172558368552705,"Cdr2l","Cerebellar degeneration-related protein 2-like",0.0289634146341463,24,18,24,27869.9106754657,25693.8337563079,24401.2421544878,28438.7864450988,28090.9579885626,25510.5191252519,26789.4509384447,29326.1226200118,27015.1029629539,0.182301006673102,0.0628009691959367
"A2A870","Fbf1","Fas-binding factor 1",0.917960088691796,6,6,24,6827.05498168415,5097.08784242325,7777.88046576301,7051.34288417757,7517.12656532346,5496.03292943814,6157.82242721671,4399.73378530411,6290.5102351663,0.537022682448524,0.192193611255792,"Fbf1","Fas-binding factor 1",0.881513303769401,6,18,24,15637.3060655487,13828.0032413214,16188.7302916776,15686.0152506061,15436.1565056228,14702.3259990051,13782.4748893028,11506.4674492834,14595.934961546,0.320792251728303,0.104621887145389
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",0.920310296191819,12,6,24,18168.5569255512,18266.9534946333,16329.1036498601,17472.0393549531,14766.2020329587,14270.3870797334,12426.8893323923,13639.1029388941,15667.404351122,0.372752501394576,0.140846696446433,"Ptprf","Receptor-type tyrosine-protein phosphatase F",0.750554323725055,6,12,24,26222.1039112776,25390.3435089685,23094.5631869532,24021.9797528929,20894.0372593915,20180.5386636069,18293.1080413949,19237.0018658147,22166.7095237875,0.357698370223778,0.132399116074803
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.753526093088858,6,18,24,25319.0464038847,15590.8829924128,16636.4604517587,19296.4885119295,13106.2605230345,16172.9028540217,13978.988443189,11184.7208263378,16410.7188758211,0.861286192548936,0.265222626464927,"Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.314174894217207,6,18,24,89713.0521208345,73153.4942655276,63439.6815902637,70510.2679119964,69825.5782322087,70109.5794353613,63484.6168523708,55863.3984359067,69512.4586055587,0.486958084406195,0.142026761912454
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.51410437235543,18,6,24,1028.20975270341,1350.06606063938,1067.91017679795,661.641870236019,1131.37662724952,869.294794047477,1255.81431306442,870.2851275162,1029.3248402818,0.668811402836535,0.217909096751459,"Dock11","Dedicator of cytokinesis protein 11",0.258110014104372,18,18,24,1486.39772661678,2498.32836839435,2954.13205368426,2602.84787093445,2905.59072859288,2197.91703940197,3105.6667955597,2273.78553822328,2503.08326517596,0.646909789806409,0.209116299040462
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.562915742793792,6,12,24,75206.1323425934,70112.8379267067,66071.2952816873,76890.7034505225,68274.4512596782,70353.7980648229,67518.0552512382,64279.7854720228,69838.382381159,0.180572881967293,0.0621336963282465,"Ckap5","Cytoskeleton-associated protein 5",0.473946784922395,24,12,24,287216.557622814,285143.472038926,278929.391918953,300299.49106459,300417.704601476,280203.81925644,306409.513800429,302092.283812125,292589.029264469,0.0939205477066501,0.0371339591683739
"A2AI08","Tprn","Taperin",0.846614950634697,12,12,24,17337.3218634148,20038.0978887925,16565.2939439365,18289.929935341,16764.0230777841,16305.5423252467,18763.7859976436,13028.840775513,17136.604475959,0.409022518032251,0.121741035981703,"Tprn","Taperin",0.0176304654442877,12,12,24,56573.4847402156,57606.654497565,54240.2243457865,54006.4608600581,53994.8823927552,61198.4345021462,55309.2491528643,51466.12621227,55549.4395879576,0.17520083662529,0.0528949222416223
