"Leading.razor.protein","Gene.names","Protein.names","pVal","phase","peak.shape","period","S1T","S2T","S3T","S4T","S5T","S6T","S7T","S8T","FCav","anova_pval"
"A1A5B6","Tbc1d25","TBC1 domain family member 25",0.0289634146341463,12,6,24,48223.7752396539,48449.6392098652,43753.9941279917,47009.9403517398,50759.0360777411,49662.8505657617,45914.0472024715,46351.2061975111,1.10388060058771,0.0597026027099244
"A2A5R2","Arfgef2","Brefeldin A-inhibited guanine nucleotide-exchange protein 2",0.562915742793792,12,12,24,62867.6153101525,71106.7920252836,45314.7065864915,68543.6756940082,64445.4097714672,73306.1906918837,73605.477913938,54052.2018740333,1.21436897633341,0.704541730866419
"A2A5Z6","Smurf2","E3 ubiquitin-protein ligase SMURF2",0.220028208744711,18,12,24,9698.55183397466,10196.0587680771,10695.0884472729,9710.27750288307,9213.62837363957,9514.90765605073,9717.37036428375,9942.35013977724,1.07932869650525,0.519449470651703
"A2A6T1","Cdr2l","Cerebellar degeneration-related protein 2-like",0.0289634146341463,24,18,24,27869.9106754657,25693.8337563079,24401.2421544878,28438.7864450988,28090.9579885626,25510.5191252519,26789.4509384447,29326.1226200118,1.12842600041072,0.0534424277048061
"A2A870","Fbf1","Fas-binding factor 1",0.881513303769401,6,18,24,15637.3060655487,13828.0032413214,16188.7302916776,15686.0152506061,15436.1565056228,14702.3259990051,13782.4748893028,11506.4674492834,1.14272252791753,0.703418524929599
"A2A8L5","Ptprf","Receptor-type tyrosine-protein phosphatase F",0.750554323725055,6,12,24,26222.1039112776,25390.3435089685,23094.5631869532,24021.9797528929,20894.0372593915,20180.5386636069,18293.1080413949,19237.0018658147,1.13841005720557,0.856943525870143
"A2AAY5","Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.314174894217207,6,18,24,89713.0521208345,73153.4942655276,63439.6815902637,70510.2679119964,69825.5782322087,70109.5794353613,63484.6168523708,55863.3984359067,1.26243571911444,0.317848368561952
"A2AF47","Dock11","Dedicator of cytokinesis protein 11",0.258110014104372,18,18,24,1486.39772661678,2498.32836839435,2954.13205368426,2602.84787093445,2905.59072859288,2197.91703940197,3105.6667955597,2273.78553822328,1.37973924818859,0.54981444609675
"A2AGT5","Ckap5","Cytoskeleton-associated protein 5",0.473946784922395,24,12,24,287216.557622814,285143.472038926,278929.391918953,300299.49106459,300417.704601476,280203.81925644,306409.513800429,302092.283812125,1.06552518098472,0.487536378833766
"A2AI08","Tprn","Taperin",0.0176304654442877,12,12,24,56573.4847402156,57606.654497565,54240.2243457865,54006.4608600581,53994.8823927552,61198.4345021462,55309.2491528643,51466.12621227,1.1264072712869,0.086862598821581
"A2AJT4","Pnisr","Arginine/serine-rich protein PNISR",0.212860310421286,6,18,24,41645.0634074327,34583.3466095206,32440.994741063,31462.8084533107,33311.2834385623,28536.8253507816,27484.728925688,27059.5371496658,1.28081583322905,0.3604047615702
"A2ALU4","Shroom2","Protein Shroom2",0.923579946146942,6,18,24,524590.579770361,557790.176064863,544156.652585481,527354.707516219,563522.419170265,501189.88594669,521930.269819207,511886.87699338,1.04702603817965,0.827710474994191
"A2AN08","Ubr4","E3 ubiquitin-protein ligase UBR4",0.833148558758315,6,18,24,330023.295378882,285809.037345225,276070.87052143,299672.145282459,288230.043234481,311345.137063955,302745.238182379,265885.583506328,1.09317459057174,0.708922946357005
"A2ARV4","Lrp2","Low-density lipoprotein receptor-related protein 2",0.917960088691796,6,12,24,27374.9989233015,23696.1962957958,23462.772510033,26596.1619418915,21873.5413674919,21349.6897889771,18718.1684188106,17697.1924777743,1.16755433156108,0.854943242442789
"A2AWA9","Rabgap1","Rab GTPase-activating protein 1",0.00317348377997179,18,12,24,91739.3043312896,92269.718297183,101846.183064552,96760.1104849459,89745.4828017469,100916.767277195,107021.134589025,93650.6264623261,1.15088058317785,0.0899069537643401
"A2RSJ4","Uhrf1bp1l","UHRF1-binding protein 1-like",0.254573170731707,24,12,24,52431.8793924202,67740.8853662359,66326.4633111829,68946.3979036992,67986.7338403432,65366.6551982679,65373.8454743417,72317.8099668425,1.17310940624673,0.450775637780201
"A2RTL5","Rsrc2","Arginine/serine-rich coiled-coil protein 2",0.0193935119887165,6,12,24,87416.975405378,69270.2627967269,63575.4136544578,67029.4915506789,69379.6638819174,68105.8121563211,51980.1755426577,60822.111849854,1.35689359880144,0.197290501489243
"A3KGB4","Tbc1d8b","TBC1 domain family member 8B",0.473946784922395,18,12,24,8057.84325683407,8789.29097904826,9575.60833727047,7099.25072614474,8286.79881867247,9147.87095132508,9122.50612199677,9608.09057835555,1.14399045099235,0.59934331367293
"A6H687","Sac3d1","SAC3 domain-containing protein 1",0.764966740576497,12,6,24,3800.23858913152,4656.96944512686,3667.13795016912,2255.82717069765,3734.00203954777,4488.07419963292,3264.08921219098,4856.5586047494,1.31939747905274,0.678695982428974
"A6H8H2","Dennd4c","DENN domain-containing protein 4C",0.828159645232816,6,18,24,141663.655751997,114931.055742003,118948.938852346,112216.464431276,106967.722510324,115169.536595101,98368.3885645483,98056.1038915208,1.18242422321412,0.647102662730453
"A8Y5H7","Sec14l1","",0.00152439024390244,24,6,24,12654.0127672607,17082.1802953508,17601.6433216133,18039.5250293889,15157.0160283276,16703.359487417,17256.1112493322,18115.1451358882,1.3000119639951,0.0478233243106423
"B0V2N1","Ptprs","Receptor-type tyrosine-protein phosphatase S",0.753526093088858,6,18,24,109701.920435267,103462.765020153,98032.3802243496,110219.645822274,113162.787100624,112155.279298637,118347.786662925,111663.616789016,1.03360879763099,0.940516163249499
"B1AZI6","Thoc2","THO complex subunit 2",0.442350332594235,6,18,24,24966.593397819,27793.4297121861,24770.0187468328,21471.5736825778,28052.6909653406,24803.3583657636,28611.1435151332,24419.5122613582,1.1632141877658,0.387625133148856
"B2RQC6","Cad","CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase",0.212860310421286,6,18,24,22967.6785472164,20351.3173994902,20515.9427588905,19464.1165692868,22373.5164433673,20498.8733945468,21694.7842770681,19560.7997901499,1.16185245787515,0.0103489198957167
"B2RQE8","Arhgap42","Rho GTPase-activating protein 42",0.143394452280207,6,6,24,3110.59367915223,2276.40700966252,1805.51493142134,2988.16521102831,2696.79850317965,2063.16141172766,2787.07803071197,3078.79825552506,1.39805687511428,0.234480193247689
"B2RUR8","Otud7b","OTU domain-containing protein 7B",0.212860310421286,6,18,24,10130.681989648,8476.5945470257,7132.52400765576,6152.5522572513,7669.08572025076,7435.53587841229,7523.04550078199,7487.77315358894,1.30493717516101,0.348732504095434
"B2RXC1","Trappc11","Trafficking protein particle complex subunit 11",0.963137472283814,6,18,24,113163.78097607,96504.8770986448,88948.852189716,104484.533853998,116980.825845006,99556.5545623577,127195.026952084,87140.3086773486,1.20101654765054,0.597312826265721
"B2RXS4","Plxnb2","Plexin-B2",0.258110014104372,6,18,24,982363.029549868,885612.787984804,833496.570060285,822310.350451774,836829.016434391,799050.21598083,797208.310177623,797388.542862305,1.12316681421075,0.447761691343968
"B2RY56","Rbm25","RNA-binding protein 25",0.314174894217207,6,18,24,259854.354115637,256345.166345425,220244.870729606,245714.876392091,229865.512097673,233143.739871831,216806.49252641,209930.184203102,1.12050872594222,0.473250065096766
"B5TVM2","Ildr2","Immunoglobulin-like domain-containing receptor 2",0.753526093088858,6,6,24,36768.6089058295,42924.8822426149,46207.6915498599,42830.5985092021,49195.2602815964,41986.9739905198,37095.2605339122,43209.6381194668,1.03285939425225,0.991447155286915
"B9EJ86","Osbpl8","Oxysterol-binding protein",0.710920177383592,12,6,24,22140.8331533856,22364.6472202578,21841.7438576573,23274.3210810383,21660.2440816133,23510.8120315522,20908.1977034605,23214.259873441,1.08745367260951,0.0761471767513776
"B9EJR8","Dnaaf5","Dynein assembly factor 5, axonemal",0.51410437235543,24,6,24,40602.3770890404,45771.371777209,46737.6241834689,45437.9704608832,42941.0234547993,41304.7413515015,41584.7829352365,46264.2310185956,1.09765943069743,0.529725578586337
"B9EKI3","Tmf1","TATA element modulatory factor",0.881513303769401,6,18,24,33340.9317394915,32309.5236085135,36796.178740046,36486.0197678598,38037.4384098247,37476.2194538225,37703.8008712617,32842.3608968513,1.07459569799571,0.792854892940685
"C0HKG6","","",1,6,18,24,53049.701857143,54767.2788329533,51200.4862029829,52072.4657304186,58653.5480928156,54284.2729971529,61479.7380305417,59912.0519883951,1.03327483508966,0.987126074250275
"D3Z7P3-2","Gls","Glutaminase kidney isoform, mitochondrial",0.753526093088858,6,18,24,194710.742487597,212394.003742107,204367.519694617,198085.591361724,191530.912968692,184859.93480079,181211.013155739,190253.075624166,1.03028022749667,0.969261366623431
"D3Z7Q2","Smim20","",0.923579946146942,24,18,24,24041.2793381443,25453.0083342551,23882.4486264509,24323.2558724802,28294.3787957286,26121.5719564296,25494.1687000318,29456.995648663,1.08918460666399,0.844244933455127
"E2JF22","Piezo1","Piezo-type mechanosensitive ion channel component 1",0.881513303769401,6,18,24,153458.694489318,143371.36639021,148064.910580118,145645.469986353,158088.982776634,156751.281813303,168863.518603409,148554.426108217,1.07725540828081,0.611687712890429
"E9PVA8","Gcn1l1","",0.51410437235543,6,6,24,325586.181296637,288094.891155761,289775.786550248,329412.642122286,308788.886668095,304725.41493478,309494.161631093,290122.632509089,1.07009672483763,0.660382617275454
"E9PVX6","Mki67","",0.442350332594235,6,6,24,25693.569167836,16661.7296562411,16718.5597854202,18260.4937767715,17548.0768703109,16247.2214585096,17285.0237992968,14137.5691765466,1.33469850035334,0.406667996218702
"E9Q3L2","Pi4ka","",0.0736953455571227,18,12,24,21960.2963696654,26654.1015882032,27039.4567973615,24905.9535214788,23586.0707947713,25168.9977997237,26440.1139061743,26886.8175726685,1.17417862352134,0.0658188670988735
"E9Q4N7","Arid1b","",0.0881374722838137,6,18,24,8436.60625357432,7418.80392692985,5941.88770381784,5049.24947360582,7060.05352680267,5706.8385623316,6874.94545221103,4940.86709185852,1.55119909550892,0.0997558234717321
"E9Q555","Rnf213","E3 ubiquitin-protein ligase RNF213",0.753526093088858,6,18,24,2057090.20002532,2052302.52977195,2263887.47547799,2058373.32078603,1959196.12920366,1880639.94118002,1818970.98787811,1839128.63032565,1.04755777279125,0.964878923299857
"E9Q634","Myo1e;Myo1f","Unconventional myosin-Ie;Unconventional myosin-If",0.920310296191819,18,6,24,25648.6451156015,27396.4548440186,33588.3226149958,25390.6623473198,28496.6733377784,31304.3327301654,27422.4981038595,28627.4493667426,1.1294511929963,0.617358902473451
"E9Q6J5","Bod1l","",0.0289634146341463,12,6,24,11255.0161385257,10430.5026302928,6949.56419863298,7664.8595985241,9461.14679189915,10826.5196486069,7644.84535412481,8252.28292495473,1.45651814155667,0.0174683411781081
"E9Q735","Ube4a","Ubiquitin conjugation factor E4 A",0.51410437235543,12,6,24,22460.9053509071,22405.1335097167,18509.1710061454,21028.2829147509,19384.5820961655,25599.7217009383,22054.6766847224,20700.4002770957,1.18343939106798,0.38808499198834
"E9Q7D5","Arhgef5","",0.923579946146942,12,6,24,65756.0170552797,67230.9882736705,65334.8766355276,71762.6875579793,72024.2210108547,74840.7584979036,71211.7023486171,69745.1703291806,1.04046361196695,0.877784423769569
"E9Q7E2","Arid2","",0.662527716186253,12,12,24,72221.2512919395,78816.4486187605,75163.3839252327,71288.6468701434,66664.8451368764,69993.0389533919,65948.3332528441,65364.4110817295,1.08895834313902,0.716993391287122
"E9Q7G0","Numa1","",0.881513303769401,12,6,24,95074.6116688127,95708.855970756,77082.4558495703,100065.820726019,78780.8587153162,88160.4951995214,88598.1495374722,74183.6839672535,1.10978198528877,0.8910637402326
"E9Q8D0","Dnajc21","",0.258110014104372,6,18,24,14293.2269892335,12840.9537812569,11588.0734106413,10611.636385255,11944.7346449784,12233.6118101441,13686.3750803729,10718.6651506397,1.23007926493953,0.243478511539207
"E9QAM5","Helz2","Helicase with zinc finger domain 2",0.473946784922395,18,12,24,2358.18585212174,2290.99044312653,3219.92348942005,3602.47215781965,2283.19929814946,2548.90538062445,3462.16312591653,2114.56352436902,1.43967509676419,0.359095297662125
"E9QAT4-2","Sec16a","",0.923579946146942,6,6,24,362686.817241331,316439.583022146,331248.945672473,351492.131746758,327784.387484455,342177.131524452,344213.453059028,324870.75496187,1.04836574820473,0.861972611067563
"F6ZDS4","Tpr","Nucleoprotein TPR",0.51410437235543,6,18,24,187342.973767853,169442.413102338,152742.870791028,169327.59052054,168781.475220225,178348.460655345,174085.189377121,152347.651611683,1.10709312481591,0.506051438541834
"F8VPU2","Farp1","FERM, RhoGEF and pleckstrin domain-containing protein 1",0.184312638580931,6,18,24,237676.983978397,216538.335162411,201393.832322262,203249.71099909,202802.93812326,210280.380587414,202412.145472571,195800.143302655,1.10382178405354,0.416098669926194
"F8VQB6","Myo10","Unconventional myosin-X",0.920310296191819,12,18,24,87938.5053589701,97406.4555031849,100859.753382217,103519.857596985,101513.91363813,111053.561675432,109076.587426824,93618.0107702328,1.10812172217371,0.592910421423446
"G5E829","Atp2b1","Plasma membrane calcium-transporting ATPase 1",0.930570953436807,18,18,24,116613.873469926,117359.500799393,121741.141315768,127708.477616679,129222.461301807,109202.785420072,129558.513179347,108571.074814182,1.10918572851833,0.583992557801382
"G5E8P1","Brd1","",0.930570953436807,6,18,24,9123.59868313061,9921.12861640257,8263.87551628184,9379.17010850381,9720.18776865664,6795.29223841458,9602.7298090274,5696.87421896476,1.24991582954249,0.723351458379535
"O08528","Hk2","Hexokinase-2",0.0736953455571227,6,12,24,31402.5662923476,27345.506981056,26562.3317753538,28439.0136369266,29642.8646830967,30710.8976608145,25222.0878369842,25943.8343239078,1.17883779392402,0.159143892435068
"O08529","Capn2","Calpain-2 catalytic subunit",0.00317348377997179,24,12,24,191821.967153677,178078.996492954,198382.313246908,208134.384688156,199723.19215337,188459.42579472,194708.125766185,228953.953289476,1.19247618094069,0.0599181254439148
"O08547","Sec22b","Vesicle-trafficking protein SEC22b",0.662527716186253,12,6,24,418971.424448155,421193.410828378,351496.53912694,425017.630331017,409820.152385985,417441.728821247,370747.004983818,301516.688642227,1.16115283616993,0.490040366212567
"O08553","Dpysl2","Dihydropyrimidinase-related protein 2",0.750554323725055,6,18,24,485728.939657512,476390.764948064,434028.235108426,397741.769707526,439655.781675532,377622.549547466,390804.9717894,379885.632578004,1.19001043251979,0.452731526922122
"O08573","Lgals9","Galectin-9",0.753526093088858,6,18,24,607304.165682017,535569.574250177,557096.167665679,593406.108614134,591600.944924659,640286.965516602,609775.40805538,568612.765611522,1.03174323343552,0.969941948246982
"O08579","Emd","Emerin",0.750554323725055,12,18,24,133214.291441177,134810.974639421,130790.633194486,141896.113372853,124819.631054711,153102.400335355,147453.086960595,140121.320965776,1.11579660608137,0.470168425413315
"O08586","Pten","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",0.51410437235543,6,6,24,28250.6910516826,22388.8134550511,26254.7686937224,24130.4391559443,25674.1663204599,24026.2733170937,18326.4263132589,22458.980958328,1.20958752594447,0.543075924006866
"O08599","Stxbp1","Syntaxin-binding protein 1",0.846614950634697,18,12,24,16555.9609050065,18828.2169131013,19765.3114391396,17835.3487214588,18858.1831079453,17958.0681343026,16564.3211252592,19423.5677271912,1.0520914026617,0.930909320933384
"O08600","Endog","Endonuclease G, mitochondrial",0.562915742793792,6,12,24,3475.30973731435,3025.06859430053,2707.42149323413,2192.99381342896,2773.6444384251,2889.4141911051,2521.08257103789,4070.91017256464,1.1980298588265,0.88950822707585
"O08663","Metap2","Methionine aminopeptidase 2",0.739421720733427,12,12,24,594858.055077488,495979.224407672,430973.067241608,468453.546892951,395919.701684377,446527.337327784,432461.255919628,353400.664947541,1.20553955006579,0.758188990690452
"O08664","Bcl7c;Bcl7b;Bcl7a","B-cell CLL/lymphoma 7 protein family member C;B-cell CLL/lymphoma 7 protein family member B;B-cell CLL/lymphoma 7 protein family member A",0.923579946146942,12,18,24,4827.70116425098,8488.10227787966,7590.78474809723,6314.45112938364,6636.56051590435,5688.00578244775,5436.01832270431,6966.32208386694,1.23654784371036,0.810312735631334
"O08665","Sema3a","Semaphorin-3A",0.753526093088858,6,18,24,46466.9739454081,44830.9809349705,40227.6420954708,48528.1744363488,52805.3731583471,54456.0968007169,53311.0706997572,46835.3133254369,1.06145439432167,0.942385926264467
"O08709","Prdx6","Peroxiredoxin-6",0.914315937940762,12,12,24,560295.207796656,539713.30936079,512777.895328564,538994.436312184,515108.613607851,572536.860021625,569517.665270581,551251.760918476,1.03426280179085,0.917220428180652
"O08734","Bak1","Bcl-2 homologous antagonist/killer",0.750554323725055,6,12,24,88293.975094531,84606.6157057972,90653.9604611883,85477.2704168726,89291.1647809723,85225.8215857922,78049.5663081752,80069.0625274079,1.07272167686901,0.677704804419065
"O08736","Casp12","Caspase-12",0.473946784922395,24,12,24,210096.062912961,199171.620990909,197480.870814494,225937.333879377,206236.469956925,199682.142581421,214707.349613109,204378.336992376,1.07888080838861,0.525739548705324
"O08738","Casp6","Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11",0.846614950634697,18,12,24,292655.45005073,321392.091918749,356914.476309401,308258.811027864,328886.741126015,298140.118317221,301346.788622822,308970.092241034,1.06647835421513,0.836300720016976
"O08749","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",0.51410437235543,18,18,24,126778.290527489,129066.524628595,145980.041320528,135658.216011561,135523.481448821,121360.053595633,127834.774486221,132458.684625238,1.09339359164018,0.529794679682035
"O08784","Tcof1","Treacle protein",0.846614950634697,6,12,24,54577.5866191082,44186.5480071489,40083.2462824983,49812.30215918,41022.0409681176,47044.4866528774,47656.1430701782,41197.3114563513,1.08958619717484,0.948766034763344
"O08788","Dctn1","Dynactin subunit 1",0.0176304654442877,18,12,24,310699.228319763,353989.099567142,388930.328521126,353452.896000465,342783.119946048,330216.0887651,368661.079236215,347693.43165656,1.15931426421511,0.128303186152515
"O08795","Prkcsh","Glucosidase 2 subunit beta",0.00317348377997179,6,12,24,1259805.38360833,1185982.24333234,1099964.19076025,1113500.83212493,1221774.65073252,1109118.1969393,1080900.17793335,1152060.19415079,1.13788829326759,0.0472579105083981
"O08807","Prdx4","Peroxiredoxin-4",0.828159645232816,18,12,24,61267.4411169408,71894.8623573097,66307.5887156301,66861.4683770992,64787.1012806082,60320.4827044424,66101.6156605928,63489.3164815727,1.05041200307271,0.880519610632333
"O08808","Diaph1","Protein diaphanous homolog 1",0.254573170731707,18,12,24,152837.976711457,159567.032946866,160633.328420976,163300.546931337,152476.803701928,159256.56804568,159076.75811921,158609.495259348,1.05435459677003,0.0263060452996237
"O08810","Eftud2","116 kDa U5 small nuclear ribonucleoprotein component",0.750554323725055,6,12,24,324346.987273667,315395.727217957,309411.244897579,322134.700084556,300151.386219351,322381.044824388,311193.209924408,320133.274402782,1.03490712884355,0.613117350072339
"O08832","Galnt4","Polypeptide N-acetylgalactosaminyltransferase 4",0.739421720733427,12,18,24,2828.4874426148,3239.45762010978,5594.61577361901,3710.73400275989,3470.88918121583,3714.81645784263,2939.80972322324,2744.4361290339,1.35480476981745,0.766510487654789
"O08848","Trove2","60 kDa SS-A/Ro ribonucleoprotein",0.846262341325811,18,12,24,61902.7288576883,56644.1897352339,51894.8237836477,62532.0811491015,54516.4297773974,64224.8419791806,64648.4617207861,58807.733885349,1.04226672359649,0.948739536156622
"O08856","Ell","RNA polymerase II elongation factor ELL",0.51410437235543,12,18,24,14885.0850329142,16628.8803154398,15399.2977541837,17161.3792250836,16020.341557889,18459.465585834,20004.6392134248,15378.401387065,1.14555729763471,0.627224096875141
"O08915","Aip","AH receptor-interacting protein",0.914315937940762,24,12,24,69165.9487539991,68298.9056969178,71147.8395063343,70456.1369895263,66015.0768005282,65226.9281217102,62926.2833874994,66354.7178535463,1.02460213825668,0.965313056994877
"O08919","Numbl","Numb-like protein",0.812361419068736,18,18,24,5431.70084367081,5625.39730435497,5446.81634505503,5092.85054874872,5097.12937342815,4450.58076742329,5428.67545287204,6989.60435463796,1.19913469613718,0.67348267484549
"O08967","Cyth3;Cyth1;Cyth2","Cytohesin-3;Cytohesin-1;Cytohesin-2",0.923579946146942,12,6,24,113701.748836509,139001.880984963,127621.14509974,113174.127375342,123698.564085065,116149.6511611,105966.790266984,135031.016567692,1.09231468545447,0.86229923253325
"O08970-2","Tuft1","Tuftelin",0.416574279379157,6,12,24,61172.5495637801,47483.4082810729,37810.9718856434,47546.1130655497,41399.1665105341,42692.3932241263,38382.4656155095,38120.7696323547,1.34620145039082,0.475393189390413
"O08983","Hps1","Hermansky-Pudlak syndrome 1 protein homolog",0.201692524682652,24,12,24,24686.373784681,25975.9823937,29339.888377746,30113.2889956707,26423.652437493,23586.0317744324,25349.3305925902,28186.0093077187,1.17628993256039,0.24114608986586
"O08989","Mras","Ras-related protein M-Ras",0.201692524682652,18,12,24,21116.1724942059,25691.5322101371,26770.9837250991,21857.2367493662,21820.087092355,21183.8398241935,23171.3436144652,25722.2937738401,1.1631736863077,0.592625580937721
"O08997","Atox1","Copper transport protein ATOX1",0.473946784922395,18,12,24,359216.018588679,391599.743086119,458261.668700267,422370.47017574,446620.865062294,475745.87893491,450274.268774214,432656.489039076,1.12744397272834,0.704625127582214
"O08999","Ltbp2","Latent-transforming growth factor beta-binding protein 2",0.963137472283814,24,6,24,84153.8641019034,80433.9124981519,59984.4960655649,120554.009398453,75433.6854253411,100096.731340209,111422.267194744,91937.4821068715,1.33150419399759,0.706828619761464
"O09005","Degs1","Sphingolipid delta(4)-desaturase DES1",0.846262341325811,24,12,24,93207.6016809354,83352.2730427157,99667.1471069309,99730.9893612438,97080.5875971147,102039.241458874,87594.9299466379,96736.296577506,1.05974260184959,0.892670119209012
"O09044","Snap23","Synaptosomal-associated protein 23",0.314174894217207,6,18,24,245270.381649052,211271.476905171,188536.581599512,190628.760454298,194135.184460775,219520.349907462,201207.483426476,197100.319662372,1.13327988186392,0.462876096568788
"O09061","Psmb1","Proteasome subunit beta type-1",0.846614950634697,12,12,24,755460.981432874,793828.382082453,769565.736426182,773424.200717923,785365.458208493,743108.081220321,762363.363889684,735890.014379258,1.02087850510449,0.916062093566917
"O09106","Hdac1","Histone deacetylase 1",0.917960088691796,6,12,24,15904.0484630163,12658.3888620456,11930.6731048918,13569.1405774243,13013.6468761603,13462.1975688037,13358.5985496475,11120.9253531239,1.17122795137609,0.559766449320318
"O09131","Gsto1;Gsto2","Glutathione S-transferase omega-1;Glutathione S-transferase omega-2",0.0193935119887165,6,12,24,1633286.2084189,1463000.73430969,1305911.29750892,1435152.79896476,1454721.01773804,1424293.67842801,1291271.19576701,1356208.30333171,1.18898353664086,0.0852872957407774
"O09159","Man2b1","Lysosomal alpha-mannosidase",0.753526093088858,6,12,24,4258.16505089051,3274.88050799296,3863.82567541093,5180.46757106805,4360.46535156563,5294.03617745809,4471.25701261659,3900.75472230426,1.08951796080158,0.975557662153107
"O09164","Sod3","Extracellular superoxide dismutase [Cu-Zn]",0.473946784922395,24,12,24,72874.7514862956,57244.3702071354,45731.5360425965,71078.9389350995,74169.2362428074,70685.7004973997,76117.1983259397,77224.5228905656,1.21711122068052,0.626433067327366
"O09167","Rpl21","60S ribosomal protein L21",0.822028465187845,18,6,24,1309195.50305652,1253816.6551657,1282666.25325687,1327119.7263173,1339724.58439224,1385296.3576183,1442000.67124676,1268586.72857886,1.04968222402969,0.869061055484846
"O09172","Gclm","Glutamate--cysteine ligase regulatory subunit",0.258110014104372,6,18,24,330059.159902911,302952.522461307,248152.455782532,282597.000172916,248868.203683622,290377.165447892,285689.954422959,237654.54813311,1.1404669334308,0.713421659338512
"O35074","Ptgis","Prostacyclin synthase",0.442350332594235,12,6,24,1838368.03728377,1955914.41429518,1717808.82179597,1831245.13624603,1747314.55857632,1773069.59327046,1653379.72742959,1815857.59042975,1.10613332749433,0.236465630894883
"O35126","Atn1","Atrophin-1",0.450332594235033,6,12,24,28408.2521246965,26119.6197979044,22543.7963003295,24384.7952241205,22963.3328212151,20316.2156799744,19118.5383964153,20883.1712309016,1.23304623516275,0.586521962481732
"O35129","Phb2","Prohibitin-2",0.881513303769401,12,18,24,18686.5377856196,17490.8616642688,17340.3384700663,17404.5238704489,15775.3355771966,20592.3690340348,20242.7868392599,22068.0029134862,1.14539701218116,0.775303086357863
"O35166","Gosr2","Golgi SNAP receptor complex member 2",0.416574279379157,12,12,24,149655.186998257,149524.445462087,134799.9892214,146395.10423932,147875.230979688,151394.793707714,156311.433340376,132770.995261792,1.07792185264458,0.662050802149141
"O35226-2","Psmd4","26S proteasome non-ATPase regulatory subunit 4",0.258110014104372,6,18,24,285512.432348236,302483.843968345,264840.486167495,279278.023904675,298384.882702266,279946.235428351,289958.915371697,248629.010567022,1.10606087231786,0.401403530523514
"O35250","Exoc7","Exocyst complex component 7",0.846614950634697,12,12,24,143132.980470821,141809.976544798,123192.009816542,146069.528472054,139289.625362073,151383.554790687,157782.577311272,138673.717575195,1.04348772012649,0.954036560888116
"O35286","Dhx15","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",0.110014104372355,24,18,24,434577.629246772,412805.509501516,408283.926241535,459136.706368532,415217.734638141,422802.530240939,432059.242974898,439170.417114499,1.0750340838749,0.225053386786931
