"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","Q64511","ENSMUSG00000017485","1.1.1","TOP2B","ENSG00000077097","DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]"
"2","Q9Z1M8","ENSMUSG00000024474","2.1.1","IK","ENSG00000113141","IK cytokine [Source:HGNC Symbol;Acc:HGNC:5958]"
"3","Q6NXH3","ENSMUSG00000032745","3.1.1","GPBP1","ENSG00000062194","GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]"
"4","Q05793","N/A","4.1.1","N/A","N/A","N/A"
"5","Q6PDI5","ENSMUSG00000050812","5.1.1","ECPAS","ENSG00000136813","Ecm29 proteasome adaptor and scaffold [Source:HGNC Symbol;Acc:HGNC:29020]"
"6","Q99LJ7","ENSMUSG00000022106","6.1.1","RCBTB2","ENSG00000136161","RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]"
"7","P08775","ENSMUSG00000005198","7.1.1","POLR2A","ENSG00000181222","RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]"
"8","P54823","ENSMUSG00000032097","8.1.1","DDX6","ENSG00000110367","DEAD-box helicase 6 [Source:HGNC Symbol;Acc:HGNC:2747]"
"9","Q7TPH6","ENSMUSG00000033004","9.1.1","MYCBP2","ENSG00000005810","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]"
"10","Q8BU11","ENSMUSG00000016831","10.1.1","TOX4","ENSG00000092203","TOX high mobility group box family member 4 [Source:HGNC Symbol;Acc:HGNC:20161]"
"11","Q9Z1Z2","ENSMUSG00000030224","11.1.1","STRAP","ENSG00000023734","serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]"
"12","P11276","ENSMUSG00000026193","12.1.1","FN1","ENSG00000115414","fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]"
"13","P62141","ENSMUSG00000014956","13.1.1","PPP1CB","ENSG00000213639","protein phosphatase 1 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9282]"
"14","Q6GQX2","ENSMUSG00000023009","14.1.1","NCKAP5L","ENSG00000167566","NCK associated protein 5 like [Source:HGNC Symbol;Acc:HGNC:29321]"
"15","P19788","ENSMUSG00000030218","15.1.1","MGP","ENSG00000111341","matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]"
"16","P97434","ENSMUSG00000005417","16.1.1","MPRIP","ENSG00000133030","myosin phosphatase Rho interacting protein [Source:HGNC Symbol;Acc:HGNC:30321]"
"17","Q6P4T2","ENSMUSG00000003660","17.1.1","SNRNP200","ENSG00000144028","small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]"
"18","Q6QI06","ENSMUSG00000050310","18.1.1","RICTOR","ENSG00000164327","RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]"
"19","Q8BVZ5","ENSMUSG00000024810","19.1.1","IL33","ENSG00000137033","interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]"
