"Uniprot_ID","ortholog_ensg","Ave_turnover","Gene.names","Protein.names","pVal","phase","peak.shape","period","t1.av","t2.av","t3.av","t4.av","t5.av","t6.av","t7.av","t8.av","FCday1","FCday2","FCav","anova_pval","anova_BHadjpval","complex"
"A2A432","ENSG00000158290",0.170628789412229,"Cul4b","Cullin-4B",0.434973443761697,6,18,24,3021.23334408754,2450.43699974604,2402.34974507458,1647.57523087325,2941.8510427469,2235.76697810705,2483.40563602301,2773.40075172316,1.83374530490253,1.31581290517032,1.57477910503642,0.439567288522907,0.855885471060043,"Cul3p-RING ubiquitin ligase complex"
"A2A432","ENSG00000158290",0.170628789412229,"Cul4b","Cullin-4B",0.434973443761697,6,18,24,3021.23334408754,2450.43699974604,2402.34974507458,1647.57523087325,2941.8510427469,2235.76697810705,2483.40563602301,2773.40075172316,1.83374530490253,1.31581290517032,1.57477910503642,0.439567288522907,0.855885471060043,"CUL4/DDB1"
"A2A432","ENSG00000158290",0.170628789412229,"Cul4b","Cullin-4B",0.434973443761697,6,18,24,3021.23334408754,2450.43699974604,2402.34974507458,1647.57523087325,2941.8510427469,2235.76697810705,2483.40563602301,2773.40075172316,1.83374530490253,1.31581290517032,1.57477910503642,0.439567288522907,0.855885471060043,"Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)"
"A2A6Q5","ENSG00000004897",0.0406843571390855,"Cdc27","Cell division cycle protein 27 homolog",0.0281144502370696,6,18,24,19821.6070210317,17465.5068910206,17051.5621189922,14402.8457386667,18468.7410105307,17161.3703659578,19068.2747309258,16479.1596592669,1.37622851627283,1.1571145085789,1.26667151242587,0.118045671863992,0.685432950320563,"Anaphase promoting complex (APC)"
"A2AAY5","ENSG00000174705",0.214760363484157,"Sh3pxd2b","SH3 and PX domain-containing protein 2B",0.676678016636985,6,18,24,48788.4422749479,52398.643184534,51643.9277263804,43690.0779706911,55826.6805201073,50017.6280868192,47520.0305314343,47168.3996106949,1.19932592520629,1.1835610489411,1.1914434870737,0.280275002774467,0.794641457536265,NA
"A2AGH6","ENSG00000184634",0.267709191407711,"Med12;Med12l","Mediator of RNA polymerase II transcription subunit 12;Mediator of RNA polymerase II transcription subunit 12-like protein",0.00233450134240914,6,18,24,33792.4731960439,26629.0654536963,26772.6177448341,27283.101356523,30035.132269701,30113.9699003803,27342.6571271616,24959.7968061042,1.26900710258884,1.20649900054537,1.23775305156711,0.14374033079678,0.693575602797354,NA
"A2AGT5","N/A",0.0829885599444261,"Ckap5","Cytoskeleton-associated protein 5",0.0306703093495305,6,18,24,295062.692572019,260971.581299765,214816.78262482,162393.246890795,199845.207425288,187668.882574244,202461.18878056,183478.030804686,1.81696405621128,1.10346283908007,1.46021344764568,0.4189899887291,0.855885471060043,NA
"A2AH22","ENSG00000110497",0.154628119777223,"Ambra1","Activating molecule in BECN1-regulated autophagy protein 1",0.832430111218511,18,18,24,5076.86708546645,4362.76405190343,4869.0283633892,2814.96872266233,5730.40760845511,4579.61034815152,7057.43238407554,5583.81504840797,1.80352522022513,1.54105520940753,1.67229021481633,0.551959130524643,0.890076865216235,NA
"A2AI05","ENSG00000188566",0.321562996006565,"Ndor1","NADPH-dependent diflavin oxidoreductase 1",0.700891593316205,24,18,24,2784.82720486173,3052.61058724103,2364.64983265651,3411.52057359696,2258.48993874103,2219.50755506935,2911.58583546605,2350.83807844557,1.4427170257866,1.31181614084439,1.37726658331549,0.939213166989806,0.988637246681083,NA
"A2AI08","ENSG00000176058",0.0510516125351587,"Tprn","Taperin",0.473098940910675,6,6,24,6860.34062356238,5973.88096240799,6979.5973610321,5359.94659721504,6638.92210410513,5516.34049669177,5906.91794750091,6330.60448253847,1.30217666061423,1.20350114502297,1.2528389028186,0.335262461080785,0.831479774305843,NA
"A2AIV2","ENSG00000164944",0.412271113934842,"Kiaa1429","Protein virilizer homolog",0.227818798997826,12,6,24,2622.0008848916,2437.80680710097,2093.686178577,2483.34847173001,2158.43157281408,2667.90075114099,1817.65753536036,1434.00947401724,1.25233710367887,1.860448483417,1.55639279354794,0.497099735229831,0.875013133840392,NA
